icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J050551.2-041926,76.46349332,-4.32405938,-0.1102,-0.0619,0.1264,240.69,0.6474,0.4875,-0.159,0.228,0.197,0.212,,,,
ICRF J050557.1-161558,76.48816932,-16.26611355,0.0499,0.0962,0.1084,27.40,0.1461,0.2938,-0.306,-0.032,0.549,0.473,,,,
ICRF J050634.0+214100,76.64180553,21.68337769,0.0217,-0.1703,0.1717,172.74,1.4039,0.8007,-0.101,-0.245,0.216,0.213,,,,
ICRF J050643.9-610940,76.68328645,-61.16138722,-0.2055,0.2566,0.3288,321.31,0.0767,0.0759,0.004,0.087,4.431,4.312,,,,
ICRF J050653.0-095042,76.72109906,-9.84513064,3.7261,1.6332,4.0683,66.33,1.2875,1.0557,0.380,0.131,3.118,3.282,,,,
ICRF J050754.6-610443,76.97779471,-61.07864321,-0.9800,-0.2473,1.0107,255.84,0.3052,0.6175,-0.032,0.100,3.235,3.236,,,,
ICRF J050819.0-193556,77.07916699,-19.59893714,0.9969,-0.6727,1.2027,124.01,0.4919,0.6855,-0.125,0.089,2.294,2.252,,,,
ICRF J050827.2+605627,77.11358103,60.94092673,11.5459,-14.9628,18.8996,142.34,2.2200,1.5114,-0.366,-0.122,10.680,11.183,,,,
ICRF J050838.0-330853,77.15868849,-33.14832240,0.2820,0.1804,0.3348,57.39,0.5018,0.6828,-0.278,-0.084,0.657,0.621,,,,
ICRF J050842.3+843204,77.17651463,84.53459560,-0.0631,0.2638,0.2712,346.54,0.1817,0.2256,0.013,-0.038,1.208,1.220,170.0,56.0,3.46,176.54
ICRF J050925.9+054135,77.35818526,5.69314817,0.0093,0.0495,0.0503,10.61,0.0793,0.1407,-0.133,-0.101,0.388,0.371,186.0,19.0,4.61,175.39
ICRF J050927.4+101144,77.36440444,10.19572226,0.0794,-0.0472,0.0924,120.70,0.2972,0.2098,-0.105,-0.180,0.322,0.349,,,,
ICRF J051002.3+180041,77.50987137,18.01155043,-0.1319,0.0478,0.1402,289.91,0.0746,0.0669,-0.116,0.121,1.937,1.907,273.0,41.0,16.91,16.91
ICRF J051046.3-314253,77.69308699,-31.71498054,-0.9441,0.1530,0.9564,279.20,0.3011,0.4211,0.150,0.007,3.172,3.157,,,,
ICRF J051138.3+135719,77.90966529,13.95533149,0.0058,0.1912,0.1913,1.73,0.2902,0.2310,0.177,0.063,0.829,0.828,,,,
ICRF J051241.0+151723,78.17088747,15.28985582,0.3063,-0.1027,0.3231,108.54,0.3819,0.2918,-0.071,0.070,0.895,0.876,,,,
ICRF J051242.2+292703,78.17585784,29.45100272,-3.1195,2.2488,3.8456,305.79,0.5306,0.3869,0.039,0.002,8.297,8.267,,,,
ICRF J051252.5+404143,78.21892851,40.69545010,-0.1510,0.0362,0.1553,283.47,0.1248,0.1060,-0.180,-0.188,1.218,1.257,55.0,26.0,48.47,131.53
ICRF J051302.6-003225,78.26084880,-0.54035018,62.8983,2.6372,62.9535,87.60,12.9798,7.7996,0.344,-0.014,4.862,4.858,,,,
ICRF J051340.0+010021,78.41680206,1.00601499,0.3664,0.1519,0.3966,67.47,0.2238,0.3203,-0.004,0.122,1.693,1.704,,,,
ICRF J051342.8-201611,78.42857668,-20.26985957,-0.1868,0.5288,0.5608,340.55,0.4560,0.6244,-0.213,0.229,1.002,0.941,,,,
ICRF J051349.1-215916,78.45464301,-21.98780337,0.2975,-0.2890,0.4148,134.17,0.3716,0.5367,-0.217,-0.305,0.859,0.965,,,,
ICRF J051417.3-202920,78.57228137,-20.48903133,-1.0047,1.6093,1.8972,328.02,0.1030,0.2063,-0.375,0.059,11.085,12.494,,,,
ICRF J051514.1-125539,78.80906064,-12.92777141,0.5904,4.4338,4.4730,7.59,24.0284,31.2775,-0.291,0.223,0.155,0.144,,,,
ICRF J051545.2-455643,78.93854216,-45.94533288,-0.0445,-0.0585,0.0735,217.30,0.1353,0.1580,0.340,-0.232,0.447,0.495,,,,
ICRF J051615.9-160307,79.06637229,-16.05212044,0.1082,-0.1718,0.2031,147.80,0.1044,0.2060,-0.262,-0.016,1.201,1.331,,,,
ICRF J051637.7-723707,79.15716272,-72.61874046,-0.1235,0.4070,0.4253,343.12,0.3691,0.3552,0.110,0.048,1.217,1.194,,,,
ICRF J051640.4+274310,79.16865529,27.71952179,-4.4596,0.3883,4.4764,274.98,1.8836,1.1610,0.191,-0.330,2.408,2.391,,,,
ICRF J051644.9-620705,79.18719238,-62.11816372,-0.2412,-0.0594,0.2484,256.17,0.1053,0.0938,0.043,-0.110,2.439,2.376,,,,
ICRF J051646.6+105754,79.19435942,10.96521865,0.0949,0.1205,0.1534,38.22,0.2020,0.2986,-0.137,-0.302,0.675,0.619,,,,
ICRF J051656.3+073253,79.23485281,7.54812522,0.1924,-0.9628,0.9818,168.70,0.3542,0.4365,-0.384,-0.186,2.206,2.272,,,,
ICRF J051657.1-153710,79.23827235,-15.61954688,-0.6859,-1.1833,1.3677,210.10,0.2860,0.4609,0.144,-0.085,3.439,3.513,,,,
ICRF J051728.1-052040,79.36712564,-5.34467817,0.1981,-0.1496,0.2482,127.05,0.1933,0.2676,0.238,-0.132,1.211,1.167,,,,
ICRF J051751.3+064803,79.46393389,6.80089187,-0.3329,-1.3655,1.4055,193.70,0.4434,0.4026,-0.124,-0.293,3.778,3.474,,,,
ICRF J051803.8+205452,79.51593547,20.91458261,4.1175,-3.4005,5.3402,129.55,3.2273,1.9898,-0.120,-0.647,1.723,2.133,,,,
ICRF J051949.7-454643,79.95717981,-45.77884820,-0.0824,0.1956,0.2123,337.15,0.1617,0.1905,0.009,-0.180,1.145,1.147,,,,
ICRF J052109.8+163822,80.29119151,16.63945876,-2.6470,1.2435,2.9245,295.16,0.1797,0.1423,-0.123,-0.235,15.878,17.127,,,,
ICRF J052123.5-173730,80.34815599,-17.62505111,2.2407,-0.5330,2.3032,103.38,0.1482,0.2364,-0.183,0.015,15.146,15.290,,,,
ICRF J052145.9+211251,80.44152445,21.21429216,-0.4148,-0.1904,0.4564,245.35,0.1036,0.1406,-0.030,0.076,4.251,4.225,239.0,14.0,6.35,6.35
ICRF J052217.4+011331,80.57278101,1.22532926,0.6004,1.4442,1.5640,22.57,0.5056,0.4101,0.037,-0.477,4.577,3.716,220.0,6.0,17.43,162.57
ICRF J052234.4-610757,80.64343949,-61.13253716,0.3914,0.2708,0.4760,55.32,0.1380,0.1586,0.211,-0.024,3.240,3.310,,,,
ICRF J052244.6-162752,80.68606229,-16.46455715,-0.0040,-0.5584,0.5585,180.41,0.1185,0.2831,-0.025,-0.069,1.975,1.973,,,,
ICRF J052254.1-402030,80.72547964,-40.34192820,0.1106,0.1500,0.1864,36.38,0.1663,0.3173,-0.041,-0.048,0.832,0.816,,,,
ICRF J052257.9-362730,80.74160267,-36.45856980,-2.3353,1.5326,2.7933,303.28,0.0557,0.0659,0.101,-0.049,47.884,47.912,,,,
ICRF J052311.0+600745,80.79586669,60.12936552,-3.0015,0.5367,3.0491,280.14,4.7871,2.7144,-0.216,-0.868,0.932,0.657,,,,
ICRF J052318.4-261409,80.82695643,-26.23598726,3.5981,-0.5852,3.6453,99.24,0.2953,0.5597,-0.024,0.010,12.211,12.231,,,,
ICRF J052413.4+703452,81.05597196,70.58136263,0.5714,0.3370,0.6633,59.47,0.1907,0.4077,0.209,-0.139,3.146,3.107,,,,
ICRF J052454.6-281841,81.22762614,-28.31156128,0.1620,-0.0518,0.1701,107.73,0.5649,0.6804,-0.413,0.261,0.314,0.297,,,,
ICRF J052506.5-233810,81.27710797,-23.63633535,-0.0016,0.0794,0.0794,358.83,0.0866,0.1860,-0.258,0.002,0.433,0.427,,,,
ICRF J052531.4-455754,81.38083400,-45.96519033,0.0810,0.2225,0.2368,20.00,0.1514,0.1737,0.019,-0.125,1.383,1.388,,,,
ICRF J052606.7+631729,81.52797178,63.29138944,0.4185,-1.3379,1.4019,162.63,0.3960,0.4483,-0.151,0.139,3.230,3.166,,,,
ICRF J052616.6-483036,81.56946382,-48.51021999,-0.0419,0.1275,0.1342,341.80,0.0956,0.1272,0.250,0.062,1.156,1.094,,,,
ICRF J052648.3-234255,81.70160578,-23.71551738,-0.1390,-0.2680,0.3019,207.41,0.2237,0.4105,-0.251,0.051,0.951,0.901,,,,
ICRF J052707.0-225817,81.77955173,-22.97150861,-1.3573,-25.4343,25.4705,183.05,7.9171,11.1640,0.173,0.085,2.278,2.285,,,,
ICRF J052718.6-230736,81.82753393,-23.12694465,0.3367,1.9315,1.9607,9.89,0.2697,0.5576,0.049,0.002,3.644,3.682,,,,
ICRF J052732.7+033131,81.88627268,3.52542127,-0.1479,-0.0652,0.1616,246.21,0.2896,0.2219,-0.113,-0.156,0.635,0.589,,,,
ICRF J052930.0-724528,82.37517573,-72.75791875,0.0344,-0.2035,0.2064,170.40,0.2428,0.2078,-0.053,-0.101,0.980,0.989,,,,
ICRF J052953.5-051941,82.47305625,-5.32822692,-0.2480,0.3173,0.4027,321.99,0.7946,0.7570,0.057,0.201,0.579,0.523,,,,
ICRF J052957.0-251558,82.48778076,-25.26636997,-0.0463,-0.6150,0.6168,184.30,0.2930,0.4201,-0.126,-0.077,1.492,1.473,,,,
ICRF J053007.9+792054,82.53311634,79.34837031,-0.0476,0.0176,0.0508,290.30,0.4135,0.4477,0.570,-0.068,0.171,0.122,,,,
ICRF J053007.9-250329,82.53317827,-25.05830541,0.2625,-0.0871,0.2765,108.35,0.0675,0.0885,-0.161,0.012,3.933,4.011,,,,
ICRF J053012.5+372332,82.55228874,37.39239421,8.0103,-3.0134,8.5583,110.62,6.6308,3.6388,-0.070,-0.916,1.389,1.465,,,,
ICRF J053056.4+133155,82.73506978,13.53198596,-0.8126,-0.4172,0.9134,242.82,0.4149,0.3082,-0.048,-0.130,2.542,2.381,60.0,59.0,2.82,177.18
ICRF J053202.0-384854,83.00859101,-38.81509519,0.2588,-0.0512,0.2638,101.18,0.2576,0.4800,0.070,-0.036,1.012,1.010,,,,
ICRF J053207.5-030707,83.03133053,-3.11862125,-1.7565,-2.1917,2.8087,218.71,0.6073,0.5697,0.331,0.300,4.261,4.813,,,,
ICRF J053238.9+073243,83.16249365,7.54537377,0.1500,-0.7050,0.7208,167.99,0.5510,0.5417,-0.072,0.136,1.316,1.330,344.0,29.0,3.99,176.01
ICRF J053257.1-394109,83.23827307,-39.68584163,-5.4169,-4.0395,6.7572,233.29,6.7816,3.1851,-0.082,0.690,1.272,1.499,,,,
ICRF J053315.8+482252,83.31610746,48.38133549,0.2480,0.1568,0.2934,57.70,0.1552,0.1112,-0.041,-0.257,2.449,2.131,20.0,69.0,37.70,37.70
ICRF J053410.5-395048,83.54376872,-39.84690495,-0.0548,-0.4190,0.4226,187.45,0.3752,0.7172,-0.020,0.015,0.603,0.602,,,,
ICRF J053417.4-374725,83.57286057,-37.79044293,-1.2996,-0.4905,1.3891,249.32,0.3034,0.4521,-0.228,0.014,4.497,4.419,,,,
ICRF J053435.7-610607,83.64905207,-61.10196480,-0.2375,0.3301,0.4067,324.27,0.1872,0.1971,0.068,0.039,2.145,2.102,,,,
ICRF J053620.2+503826,84.08429984,50.64062546,-3.6420,-1.6331,3.9914,245.85,0.2814,0.2277,-0.125,-0.346,17.284,14.798,,,,
ICRF J053622.3-200531,84.09292131,-20.09205269,0.2283,0.0451,0.2327,78.82,0.2019,0.3762,-0.046,-0.016,1.142,1.137,,,,
ICRF J053628.4-340111,84.11846817,-34.01985234,-0.0652,-0.0408,0.0769,237.96,0.0718,0.1001,0.125,-0.159,1.022,0.995,,,,
ICRF J053631.9+094420,84.13324283,9.73906419,-3.9739,3.3431,5.1931,310.07,5.3334,6.6532,-0.942,-0.777,0.929,0.899,,,,
ICRF J053730.0+444103,84.37525261,44.68431670,-0.2796,-0.0788,0.2905,254.25,0.3009,0.2800,0.099,0.033,0.950,0.971,,,,
ICRF J053809.4+000840,84.53949439,0.14471873,5.8980,-14.4791,15.6343,157.84,13.7652,28.6517,-0.901,-0.174,0.509,0.663,,,,
ICRF J053850.3-440508,84.70983983,-44.08581640,0.1199,0.1007,0.1566,49.99,0.0581,0.0617,0.009,-0.031,2.657,2.631,,,,
ICRF J053932.0-155030,84.88337556,-15.84175579,-0.1635,0.0916,0.1874,299.28,0.0953,0.1900,0.092,0.510,1.848,1.781,,,,
ICRF J053942.3+143345,84.92652497,14.56265602,-2.4802,1.3474,2.8226,298.51,1.6421,1.7102,-0.069,-0.657,1.535,1.704,211.0,33.0,87.51,87.51
ICRF J053954.1+195145,84.97572394,19.86251367,-0.3145,0.5296,0.6159,329.29,0.3991,0.4225,-0.354,-0.249,1.346,1.481,,,,
ICRF J053954.2-283955,84.97617283,-28.66554115,-0.0453,0.1667,0.1728,344.81,0.1154,0.1440,-0.020,-0.052,1.205,1.223,,,,
ICRF J053959.9-051441,84.99973808,-5.24480572,0.2672,0.0697,0.2762,75.39,0.3724,0.7724,-0.324,0.400,0.782,0.723,,,,
ICRF J054045.8-541822,85.19103354,-54.30613769,0.1169,0.1781,0.2131,33.27,0.1106,0.1585,0.071,0.002,1.506,1.543,,,,
ICRF J054114.7+555043,85.31149063,55.84543630,2.0116,-8.3681,8.6065,166.48,0.3703,0.3460,-0.246,-0.123,24.277,24.787,,,,
ICRF J054116.1+531224,85.31739206,53.20689849,-0.3695,-0.4493,0.5817,219.43,0.2002,0.1998,-0.208,-0.081,3.087,2.909,,,,
ICRF J054138.0-054149,85.40868069,-5.69706344,1.1230,0.0493,1.1241,87.49,1.2522,1.0225,-0.177,0.558,1.046,0.898,162.0,33.0,74.51,74.51
ICRF J054149.2+472907,85.45518973,47.48544737,-0.5614,0.7330,0.9233,322.55,0.1998,0.1699,0.123,-0.387,4.653,5.150,,,,
ICRF J054150.7-733215,85.46156617,-73.53759650,1.6153,-3.0759,3.4743,152.29,1.5125,1.5391,0.160,-0.380,2.038,2.266,,,,
ICRF J054236.1+495107,85.65057457,49.85200936,1.3430,1.1441,1.7642,49.57,0.0989,0.0884,0.071,-0.394,21.752,18.759,,,,
ICRF J054338.8+823828,85.91186268,82.64132326,-0.8735,3.8604,3.9580,347.25,1.2706,2.2386,-0.043,-0.440,1.726,1.856,,,,
ICRF J054407.5-224109,86.03152964,-22.68610607,-0.2610,-0.7553,0.7991,199.06,0.0903,0.2122,-0.132,-0.073,4.912,4.585,,,,
ICRF J054452.1+111849,86.21749868,11.31386764,-0.2941,0.0325,0.2959,276.30,0.8488,0.7651,-0.090,-0.332,0.347,0.349,,,,
ICRF J055009.5-573224,87.53991749,-57.54011015,-0.0439,-0.7186,0.7200,183.49,0.1603,0.1734,0.274,-0.048,4.157,4.154,,,,
ICRF J055111.2+082911,87.79678893,8.48645052,0.5137,0.2681,0.5794,62.44,0.3381,0.3637,-0.211,-0.371,2.018,1.689,,,,
ICRF J055155.2-190920,87.98025187,-19.15582496,-1.1402,-1.4329,1.8312,218.51,0.4623,0.7082,0.346,-0.014,2.898,3.190,,,,
ICRF J055158.7+375107,87.99459051,37.85206516,-1.5817,0.5402,1.6714,288.86,0.6924,0.5228,0.034,0.107,2.615,2.507,,,,
ICRF J055207.0+200719,88.02917213,20.12216341,0.1470,-0.6504,0.6668,167.27,0.5120,0.7525,-0.208,-0.332,0.870,0.911,,,,
ICRF J055210.0-452224,88.04183417,-45.37351974,0.0083,0.2484,0.2485,1.90,0.2032,0.3992,0.167,0.004,0.625,0.624,,,,
ICRF J055217.9+375425,88.07473715,37.90702290,0.3947,-0.3578,0.5328,132.19,0.3202,0.2203,-0.023,-0.032,2.009,2.039,,,,
ICRF J055250.1+031327,88.20875608,3.22423450,-1.7591,-1.5103,2.3185,229.35,4.3507,2.3715,-0.486,-0.680,1.303,0.754,,,,
ICRF J055253.0+724045,88.22083047,72.67919857,0.6075,-0.4769,0.7724,128.13,0.2103,0.2091,-0.346,-0.090,3.206,3.681,,,,
ICRF J055400.8+685754,88.50336261,68.96512245,-0.2538,-0.7767,0.8171,198.09,0.2622,0.3590,0.338,-0.059,2.322,2.370,,,,
ICRF J055530.8+394849,88.87835673,39.81365694,-0.0716,0.1737,0.1878,337.60,0.0894,0.0799,-0.049,-0.076,2.267,2.316,51.0,74.0,73.40,73.40
ICRF J055556.6+392207,88.98590703,39.36883289,-0.1149,-0.0395,0.1215,251.02,0.2324,0.2172,0.006,-0.346,0.604,0.527,,,,
ICRF J055652.6-024105,89.21926253,-2.68486565,8.0126,-13.6705,15.8456,149.62,3.2087,3.7194,0.232,-0.408,3.866,4.444,,,,
ICRF J055704.7+241355,89.26963991,24.23202739,-0.5174,-0.3410,0.6197,236.61,0.7264,0.6524,0.225,-0.019,0.891,0.884,,,,
ICRF J055712.5+180004,89.30227114,18.00129254,1.1775,-1.3424,1.7857,138.74,3.2493,4.9735,0.449,-0.532,0.601,0.452,,,,
ICRF J055802.5-131741,89.51061132,-13.29477656,-0.0929,-0.4947,0.5033,190.63,0.2124,0.2725,-0.264,0.171,1.843,1.867,,,,
ICRF J055900.4+374955,89.75188396,37.83208883,-0.7759,0.6482,1.0110,309.88,0.3623,0.3098,-0.230,-0.138,2.798,2.994,,,,
ICRF J055911.5-452940,89.79810158,-45.49452980,0.1057,0.0309,0.1101,73.71,0.1509,0.3169,0.123,-0.038,0.703,0.707,,,,
ICRF J055913.3+580403,89.80580843,58.06762398,-0.0630,0.3177,0.3239,348.79,0.3485,0.3156,0.112,-0.247,1.007,1.023,,,,
ICRF J055946.4-181747,89.94334807,-18.29654729,0.1856,-0.6910,0.7154,164.97,0.1668,0.3070,-0.249,-0.219,2.333,2.511,,,,
ICRF J060003.5-000559,90.01459749,-0.09973192,1.4797,1.5661,2.1545,43.38,0.6243,0.9385,-0.395,-0.132,3.379,2.898,,,,
ICRF J060031.4-393702,90.13090634,-39.61727668,0.0861,0.3819,0.3915,12.71,0.1871,0.3492,-0.005,0.057,1.181,1.186,,,,
ICRF J060111.2-703608,90.29686583,-70.60244220,-0.7110,-0.0541,0.7131,265.65,0.2832,0.4340,-0.007,0.005,2.514,2.514,,,,
ICRF J060147.3+232453,90.44732087,23.41485718,4.4571,-1.4589,4.6898,108.12,10.8504,8.3521,-0.173,-0.939,0.723,0.446,,,,
ICRF J060148.7-273622,90.45300133,-27.60612006,0.3134,0.4583,0.5552,34.37,0.3376,0.7719,-0.009,-0.050,1.108,1.102,,,,
ICRF J060152.8-200445,90.47010976,-20.07922569,-0.0299,0.3303,0.3317,354.82,0.1759,0.3612,-0.258,0.433,0.937,0.930,,,,
ICRF J060242.8-000427,90.67871125,-0.07428133,-0.8644,-1.6026,1.8209,208.34,1.0618,2.3308,-0.407,-0.174,1.323,1.066,,,,
ICRF J060258.9+421210,90.74560028,42.20278024,-0.5231,0.3258,0.6162,301.92,0.1104,0.1322,-0.178,-0.310,4.965,5.341,,,,
ICRF J060314.3+062227,90.80981394,6.37442949,-13.2191,5.8275,14.4466,293.79,20.3039,19.1938,-0.270,-0.999,6.714,0.718,,,,
ICRF J060357.7-171628,90.99055182,-17.27450511,0.2541,-0.3332,0.4190,142.67,0.3189,0.4173,-0.132,0.023,1.127,1.128,,,,
ICRF J060425.1-422530,91.10489441,-42.42502611,0.3041,0.5305,0.6115,29.82,0.3070,0.5454,0.049,0.171,1.301,1.388,,,,
ICRF J060435.6+441358,91.14845330,44.23293005,0.5574,-0.2727,0.6205,116.07,0.9830,0.7524,-0.162,-0.078,0.651,0.673,,,,
ICRF J060449.3+105540,91.20570673,10.92788186,0.2394,-0.3887,0.4565,148.36,0.3873,0.3909,-0.089,-0.062,1.139,1.171,,,,
ICRF J060455.1+242955,91.22967245,24.49862124,1.4359,-0.1939,1.4490,97.69,0.3580,0.3485,0.088,-0.651,4.742,4.049,,,,
ICRF J060510.1+093913,91.29213791,9.65378072,1.1270,-1.6454,1.9944,145.59,2.4282,2.4086,-0.337,-0.862,0.725,0.826,,,,
ICRF J060542.2+575316,91.42594798,57.88787673,-1.0469,0.1363,1.0558,277.42,0.3291,0.2970,0.058,-0.127,3.191,3.214,,,,
ICRF J060643.5-072430,91.68144308,-7.40839754,-0.9635,2.1395,2.3464,335.76,1.9451,3.3289,-0.020,-0.575,0.661,0.811,,,,
ICRF J060657.4-002457,91.73934826,-0.41596219,-0.3898,0.5295,0.6575,323.64,0.2638,0.3679,-0.280,0.057,1.987,2.063,,,,
ICRF J060716.3-244740,91.81806835,-24.79471170,-0.4416,-0.0201,0.4420,267.39,0.2131,0.4568,-0.165,-0.016,2.092,2.073,,,,
ICRF J060723.2+473946,91.84689585,47.66303938,-0.1357,0.3076,0.3362,336.19,0.1039,0.1218,0.017,0.023,2.864,2.843,335.0,17.0,1.19,1.19
ICRF J060752.6+672055,91.96946506,67.34872502,0.2217,-0.3316,0.3989,146.23,0.1585,0.1984,-0.086,-0.083,2.096,2.180,,,,
ICRF J060759.6-083449,91.99874683,-8.58054953,0.3543,-0.2817,0.4526,128.49,0.1546,0.1817,-0.145,0.031,2.789,2.767,122.0,32.0,6.49,6.49
ICRF J060801.5-152036,92.00638303,-15.34360516,0.0525,-0.8067,0.8084,176.27,0.2420,0.3638,-0.112,0.170,2.263,2.228,93.0,14.0,83.27,83.27
ICRF J060845.2-271710,92.18848666,-27.28634215,0.3075,-0.4152,0.5167,143.48,0.1932,0.4039,-0.383,0.023,1.695,1.894,,,,
ICRF J060859.6-222020,92.24869517,-22.33915466,-1.5023,0.5409,1.5967,289.80,0.8926,1.8247,-0.036,0.194,1.798,1.709,,,,
ICRF J060928.5-023052,92.36879836,-2.51470281,-1.0826,1.1669,1.5917,317.15,0.6658,0.7878,-0.133,-0.459,1.871,2.200,,,,
ICRF J060940.9-154240,92.42062309,-15.71129799,-0.1312,0.4960,0.5131,345.18,0.0906,0.1066,-0.033,0.056,4.944,4.874,73.0,82.0,87.82,87.82
ICRF J061017.8-184740,92.57452542,-18.79446983,-0.3031,-0.2440,0.3891,231.16,0.1385,0.2630,-0.150,-0.358,2.592,2.377,,,,
ICRF J061038.7-230145,92.66161413,-23.02939857,-0.2408,0.2725,0.3636,318.53,0.1052,0.2099,-0.232,0.136,2.511,2.631,,,,
ICRF J061048.8+724853,92.70363861,72.81477327,-1.1824,-0.8143,1.4356,235.45,0.5096,0.5997,-0.032,-0.308,3.129,2.688,,,,
ICRF J061151.3-282759,92.96402250,-28.46662546,-0.0298,-0.4176,0.4187,184.08,0.1502,0.3096,-0.274,-0.140,1.445,1.363,,,,
ICRF J061210.3+622534,93.04302145,62.42611468,-0.1332,-0.1918,0.2335,214.78,0.3945,0.3315,0.510,-0.195,0.598,0.670,,,,
ICRF J061228.6-433748,93.11918864,-43.63010555,-0.2517,0.4969,0.5570,333.13,0.2370,0.6791,0.399,0.022,1.631,1.290,,,,
ICRF J061229.6-313858,93.12360152,-31.64949875,0.1088,0.7381,0.7460,8.38,0.1707,0.5333,0.183,0.027,1.447,1.523,,,,
ICRF J061251.1+412237,93.21327181,41.37705780,0.0542,-0.1062,0.1192,152.94,0.1041,0.1318,-0.175,-0.080,0.900,0.959,104.0,23.0,48.94,48.94
ICRF J061350.1+260436,93.45891319,26.07686663,-0.4804,-0.0992,0.4905,258.33,0.1421,0.1251,-0.134,-0.086,3.583,3.473,,,,
ICRF J061357.6+130645,93.49038647,13.11261134,0.0027,-0.0823,0.0824,178.12,0.2067,0.1932,-0.167,-0.077,0.427,0.426,,,,
ICRF J061417.2-253653,93.57171180,-25.61486798,-0.3900,0.7951,0.8856,333.87,0.1653,0.2886,-0.296,0.008,3.445,3.627,,,,
ICRF J061423.8+604621,93.59944240,60.77270998,-0.1442,-0.0419,0.1501,253.79,0.2415,0.2311,-0.190,0.188,0.602,0.624,,,,
ICRF J061449.1+510213,93.70483063,51.03697728,0.1168,-0.2131,0.2430,151.27,0.2364,0.2408,-0.097,-0.178,0.960,1.014,,,,
ICRF J061504.0+481904,93.76688889,48.31798031,1.3068,1.4846,1.9778,41.36,0.2444,0.2412,0.182,-0.084,8.154,8.153,,,,
ICRF J061519.2-311721,93.83004919,-31.28932693,0.3931,-0.2869,0.4867,126.12,0.2234,0.6450,-0.106,0.041,1.780,1.815,,,,
ICRF J061607.9-030648,94.03308901,-3.11357040,-0.7755,-0.1089,0.7832,262.01,0.5181,0.5873,-0.095,-0.211,1.571,1.508,,,,
ICRF J061635.9-345616,94.14991983,-34.93793562,28.1567,-80.9304,85.6886,160.82,2.6634,4.4734,-0.357,-0.450,18.320,20.954,,,,
ICRF J061641.8-104108,94.17419836,-10.68568196,1.1373,-0.1467,1.1468,97.35,0.5227,0.6615,-0.121,-0.111,2.176,2.187,,,,
ICRF J061702.0-220028,94.25851145,-22.00782575,0.0709,0.2318,0.2424,17.00,0.1092,0.2421,-0.276,0.124,1.291,1.157,,,,
ICRF J061716.9+570116,94.32051069,57.02122867,-0.1196,0.0382,0.1256,287.71,0.0671,0.0685,-0.052,-0.341,1.785,1.869,302.0,18.0,14.29,14.29
ICRF J061733.4-171525,94.38924394,-17.25696800,4.9534,1.6931,5.2348,71.13,0.3582,0.5064,0.063,0.183,13.900,14.225,45.0,10.0,26.13,26.13
ICRF J061756.9+781607,94.48722045,78.26872062,-0.1413,-0.3741,0.3999,200.70,0.3504,0.3634,0.317,0.026,1.081,1.106,,,,
ICRF J061808.2+462016,94.53418219,46.33783669,0.7837,-0.1097,0.7913,97.97,0.3594,0.3342,0.195,-0.067,2.200,2.205,,,,
ICRF J061808.6+420759,94.53591625,42.13329071,-0.1175,-0.0146,0.1184,262.91,0.4130,0.3914,-0.030,-0.353,0.315,0.287,,,,
ICRF J061822.6-242637,94.59439681,-24.44387404,0.3547,-1.8205,1.8547,168.98,0.1683,0.3721,-0.574,0.039,4.899,5.327,,,,
ICRF J061830.1-784302,94.62566146,-78.71726136,-0.2264,-0.0290,0.2283,262.70,0.1721,0.1608,-0.265,-0.144,1.416,1.328,,,,
ICRF J061909.9+073641,94.79154608,7.61145004,-0.3758,0.1312,0.3981,289.24,0.3345,0.4012,-0.098,-0.199,1.132,1.170,,,,
ICRF J062029.3-282736,95.12232797,-28.46002352,0.8300,0.4475,0.9429,61.67,1.2370,2.1834,-0.145,-0.364,0.826,0.702,,,,
ICRF J062032.1-251517,95.13382071,-25.25485720,0.0119,-0.5254,0.5255,178.70,0.1136,0.2113,0.154,0.007,2.511,2.488,,,,
ICRF J062110.3-060954,95.29318531,-6.16505704,-0.4312,-1.1106,1.1913,201.22,0.3527,0.6432,-0.282,-0.128,2.389,2.116,,,,
ICRF J062118.7+760504,95.32830148,76.08459861,0.1141,0.1523,0.1903,36.86,0.2585,0.1983,-0.062,0.005,0.904,0.886,,,,
ICRF J062228.5-192718,95.61890469,-19.45505107,-1.3930,-0.2571,1.4165,259.54,0.4724,0.6780,-0.107,0.242,2.954,2.973,,,,
ICRF J062252.2+332610,95.71759153,33.43622525,-0.0888,2.6918,2.6932,358.11,10.8588,1.9773,-0.211,-0.143,1.374,1.361,345.0,9.0,13.11,13.11
ICRF J062257.9-010927,95.74142680,-1.15753277,-0.3844,-0.1635,0.4178,246.95,0.2840,0.4047,-0.090,-0.112,1.455,1.413,,,,
ICRF J062307.6-643620,95.78206814,-64.60575627,-0.0611,0.1103,0.1261,331.04,0.2488,0.4074,0.280,0.108,0.430,0.366,,,,
ICRF J062321.7+584901,95.84074664,58.81718801,-0.3613,0.0789,0.3698,282.32,0.2026,0.1871,-0.104,0.065,1.823,1.832,,,,
ICRF J062331.7-441302,95.88244262,-44.21737385,-0.9070,3.2956,3.4181,344.61,0.2819,0.7129,-0.300,0.165,5.013,5.632,,,,
