icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J002641.7+350842,6.67385350,35.14507525,-5.4953,6.2515,8.3234,318.68,1.1691,1.2091,-0.336,0.265,6.511,6.988,,,,
ICRF J002651.4-111252,6.71434637,-11.21456266,2.2573,0.1610,2.2630,85.92,0.4391,0.7895,-0.061,0.351,5.151,5.144,,,,
ICRF J002705.7+092957,6.77414034,9.49937879,-0.8360,-0.1911,0.8576,257.13,0.2615,0.2721,0.060,0.380,3.197,3.273,,,,
ICRF J002715.3+224158,6.81404804,22.69946341,-0.2973,-0.0828,0.3086,254.44,0.1371,0.1677,-0.070,0.388,2.241,2.224,,,,
ICRF J002742.2+451457,6.92609480,45.24918769,0.1138,0.1249,0.1689,42.33,0.3064,0.3894,-0.363,-0.439,0.612,0.491,,,,
ICRF J002829.8+200026,7.12424367,20.00742889,-0.0785,-0.4844,0.4907,189.21,0.4867,0.3733,-0.035,0.573,1.473,1.307,,,,
ICRF J002900.9-011341,7.25410844,-1.22826659,7.5136,4.2441,8.6294,60.54,0.4410,0.4041,0.190,0.490,17.662,20.016,,,,
ICRF J002903.5+050934,7.26496753,5.15968534,0.6030,-0.8896,1.0747,145.87,0.2278,0.3236,-0.125,0.343,3.780,3.816,,,,
ICRF J002945.8+055440,7.44123466,5.91130889,0.2702,0.3366,0.4316,38.76,0.2596,0.2305,-0.081,0.469,1.602,1.793,186.0,1.0,32.76,147.24
ICRF J003014.4+703740,7.56005395,70.62779471,-2.4976,1.7940,3.0751,305.69,1.4002,0.9906,0.102,-0.377,2.168,2.542,,,,
ICRF J003017.4-422446,7.57288599,-42.41291186,-0.3228,0.5572,0.6440,329.91,0.1667,0.4151,-0.230,-0.098,2.163,2.356,,,,
ICRF J003031.8-021156,7.63259893,-2.19892588,0.0976,0.0826,0.1278,49.78,0.1796,0.2196,-0.004,0.263,0.620,0.661,,,,
ICRF J003124.3-392249,7.85138113,-39.38038027,-1.2340,1.8075,2.1886,325.68,1.6805,3.4327,-0.382,-0.268,0.809,0.904,,,,
ICRF J003238.3+195353,8.15974332,19.89827071,-97.5333,67.0811,118.3749,304.52,14.3112,4.8557,0.082,0.528,20.687,15.405,,,,
ICRF J003443.4+275425,8.68119203,27.90714461,1.6291,-0.4317,1.6853,104.84,0.1657,0.1868,-0.102,0.132,10.113,10.101,,,,
ICRF J003443.9-005413,8.68300825,-0.90362085,-0.2340,0.0967,0.2532,292.46,0.2940,0.3678,0.256,0.534,0.973,0.838,,,,
ICRF J003525.3+613030,8.85546074,61.50854478,0.1836,0.3107,0.3609,30.58,0.5030,0.3385,0.014,-0.220,1.073,0.988,,,,
ICRF J003544.0+143801,8.93369956,14.63388126,-0.3382,-1.2158,1.2620,195.55,0.2432,0.2376,0.078,0.434,5.117,5.302,,,,
ICRF J003546.2-083554,8.94270995,-8.59834516,0.9749,0.0504,0.9762,87.04,1.8618,1.3692,-0.188,0.364,0.547,0.525,,,,
ICRF J003714.8-214524,9.31177454,-21.75686491,-0.7203,0.4689,0.8595,303.06,0.3255,0.4334,-0.461,0.109,2.309,2.464,,,,
ICRF J003726.0+110950,9.35850594,11.16414473,-2.3867,0.9277,2.5606,291.24,2.6504,1.3629,-0.069,0.133,1.208,1.129,,,,
ICRF J003736.7+393811,9.40302395,39.63660961,0.1062,0.3004,0.3186,19.46,0.2541,0.3442,-0.314,0.054,1.118,0.968,,,,
ICRF J003746.1+365910,9.44226253,36.98635642,9.9085,10.9761,14.7869,42.07,0.4954,0.4496,0.270,0.090,29.772,31.560,,,,
ICRF J003758.2+240711,9.49291566,24.11996356,1.6970,-6.1301,6.3607,164.53,0.3956,0.7027,-0.622,0.462,8.760,9.721,,,,
