station,file,t_peak_s,is_burst,n_channels,f_lo_mhz,f_hi_mhz,drift_mhz_s,r2
MRO,MRO_20110914_134500_59.fit.gz,50183.6,False,6,174.93,764.99,11.626,0.115
MRO,MRO_20110914_140000_59.fit.gz,51124.9,False,2,174.93,553.05,100.833,
MRO,MRO_20110914_141500_59.fit.gz,51773.0,False,3,174.93,553.05,30.344,0.495
MRO,MRO_20110914_143000_59.fit.gz,,False,1,,,nan,nan
MRO,MRO_20110914_144500_59.fit.gz,53453.5,False,4,553.05,745.3,1.537,0.013
MRO,MRO_20110914_150000_59.fit.gz,54320.8,False,5,477.74,745.3,22.788,0.87
MRO,MRO_20110914_151500_59.fit.gz,55543.6,False,6,553.05,768.67,5.948,0.109
MRO,MRO_20110914_153000_59.fit.gz,56305.0,False,5,490.24,745.3,-5.133,0.091
MRO,MRO_20110914_154500_59.fit.gz,57188.8,False,5,486.24,751.55,-17.773,0.283
MRO,MRO_20110914_160000_59.fit.gz,58330.2,False,2,742.36,745.3,0.979,
MRO,MRO_20110914_161500_59.fit.gz,59238.9,False,2,174.93,703.49,37.092,
MRO,MRO_20110914_163000_59.fit.gz,59412.6,False,2,174.93,553.05,30.867,
MRO,MRO_20110914_164500_59.fit.gz,60593.2,False,7,174.93,756.24,46.529,0.32
MRT1,MRT1_20110914_021500_59.fit.gz,,False,1,,,nan,nan
MRT1,MRT1_20110914_023000_59.fit.gz,9131.5,False,3,45.0,143.0,-6.078,0.998
MRT1,MRT1_20110914_030000_59.fit.gz,,False,1,,,nan,nan
MRT1,MRT1_20110914_031500_59.fit.gz,,False,0,,,nan,nan
MRT1,MRT1_20110914_074500_59.fit.gz,28020.5,False,9,45.0,105.19,-45.388,0.305
MRT1,MRT1_20110914_082959_59.fit.gz,,False,0,,,nan,nan
MRT1,MRT1_20110914_091459_59.fit.gz,,False,1,,,nan,nan
MRT1,MRT1_20110914_100000_59.fit.gz,36324.8,False,4,65.31,95.44,-3.033,0.596
MRT1,MRT1_20110914_101500_59.fit.gz,37455.8,False,14,45.0,109.25,0.339,0.008
MRT1,MRT1_20110914_103000_59.fit.gz,38659.9,False,14,45.0,109.25,0.791,0.035
MRT1,MRT1_20110914_111500_59.fit.gz,,False,1,,,nan,nan
MRT1,MRT1_20110914_112959_59.fit.gz,,False,1,,,nan,nan
MRT1,MRT1_20110914_115959_59.fit.gz,,False,0,,,nan,nan
MRT1,MRT1_20110914_121459_59.fit.gz,44208.0,False,10,45.0,105.19,0.979,0.078
MRT1,MRT1_20110914_124459_59.fit.gz,46610.8,False,18,45.0,147.94,-1.867,0.133
MRT1,MRT1_20110914_125959_59.fit.gz,47171.2,False,6,54.44,79.69,-0.171,0.011
MRT1,MRT1_20110914_132959_59.fit.gz,49491.8,False,13,45.0,128.88,2.102,0.076
MRT1,MRT1_20110914_134459_59.fit.gz,49502.2,False,14,45.0,118.0,-4.251,0.094
MRT1,MRT1_20110914_190000_59.fit.gz,68796.2,False,14,45.0,109.25,-0.837,0.019
OOTY,OOTY_20110914_023000_58.fit.gz,9725.2,False,14,46.19,104.44,-4.145,0.384
OOTY,OOTY_20110914_023000_59.fit.gz,9585.2,False,29,45.75,398.62,-0.632,0.001
OOTY,OOTY_20110914_024500_58.fit.gz,10245.4,False,26,45.25,267.81,-0.242,0.048
OOTY,OOTY_20110914_024500_59.fit.gz,9918.6,False,24,46.19,398.62,8.756,0.095
OOTY,OOTY_20110914_030000_58.fit.gz,10809.8,False,16,45.75,165.56,-3.309,0.087
OOTY,OOTY_20110914_030000_59.fit.gz,10810.4,False,24,45.75,398.62,-3.229,0.009
OOTY,OOTY_20110914_031500_58.fit.gz,11703.2,False,12,45.75,129.69,3.958,0.111
OOTY,OOTY_20110914_031500_59.fit.gz,12039.2,False,19,45.75,398.62,17.817,0.448
OOTY,OOTY_20110914_040000_58.fit.gz,14748.0,False,15,46.19,163.44,-3.671,0.159
OOTY,OOTY_20110914_040000_59.fit.gz,14743.8,False,20,45.75,401.38,0.873,0.001
OOTY,OOTY_20110914_041459_58.fit.gz,15434.6,False,20,46.56,170.56,-3.385,0.088
OOTY,OOTY_20110914_041459_59.fit.gz,16094.2,False,17,45.75,401.38,-10.233,0.179
OOTY,OOTY_20110914_074459_58.fit.gz,28610.5,False,30,46.81,160.94,1.565,0.039
OOTY,OOTY_20110914_074459_59.fit.gz,28609.4,False,24,45.75,413.62,-7.109,0.028
OOTY,OOTY_20110914_075959_58.fit.gz,28856.8,False,53,46.56,214.31,5.187,0.272
OOTY,OOTY_20110914_075959_59.fit.gz,29001.8,False,38,45.25,414.19,-1.675,0.0
OOTY,OOTY_20110914_081458_59.fit.gz,30392.5,False,24,46.81,418.56,2.942,0.009
OOTY,OOTY_20110914_081459_58.fit.gz,30128.5,False,34,46.06,197.19,-3.944,0.196
OOTY,OOTY_20110914_082958_58.fit.gz,31312.5,True,40,45.25,275.31,-9.331,0.555
OOTY,OOTY_20110914_082958_59.fit.gz,31313.8,False,25,45.75,413.62,-5.385,0.348
OOTY,OOTY_20110914_084458_58.fit.gz,31758.2,False,43,45.75,197.19,3.545,0.143
OOTY,OOTY_20110914_084458_59.fit.gz,31755.0,False,35,45.75,418.56,-2.566,0.006
OOTY,OOTY_20110914_085958_58.fit.gz,32628.5,False,38,46.81,165.56,-2.638,0.075
OOTY,OOTY_20110914_085958_59.fit.gz,32408.8,False,22,45.75,402.12,10.486,0.052
OOTY,OOTY_20110914_091458_58.fit.gz,33416.8,False,27,46.81,157.81,-4.735,0.252
OOTY,OOTY_20110914_091458_59.fit.gz,33417.5,False,25,46.81,421.44,23.456,0.521
OOTY,OOTY_20110914_092958_58.fit.gz,34458.0,False,29,45.75,433.25,-5.217,0.004
OOTY,OOTY_20110914_092958_59.fit.gz,34462.4,False,24,45.75,411.38,23.104,0.662
OOTY,OOTY_20110914_094458_58.fit.gz,35781.5,False,33,45.25,165.56,-4.234,0.139
OOTY,OOTY_20110914_094458_59.fit.gz,35781.1,False,18,45.75,398.62,-2.57,0.006
OOTY,OOTY_20110914_095958_58.fit.gz,36372.2,False,58,45.0,418.56,1.533,0.052
OOTY,OOTY_20110914_095958_59.fit.gz,36372.0,False,67,45.75,402.12,3.037,0.007
OOTY,OOTY_20110914_101458_58.fit.gz,36973.0,False,143,45.0,433.25,-4.421,0.036
OOTY,OOTY_20110914_101458_59.fit.gz,36974.0,False,104,45.44,433.25,-1.324,0.002
OOTY,OOTY_20110914_102958_58.fit.gz,38263.2,False,72,45.25,366.56,3.915,0.06
OOTY,OOTY_20110914_102958_59.fit.gz,38215.4,False,58,61.62,430.62,-4.753,0.053
OOTY,OOTY_20110914_104458_58.fit.gz,39147.2,False,35,46.06,226.06,6.603,0.233
OOTY,OOTY_20110914_104458_59.fit.gz,39350.8,False,29,45.75,418.56,14.866,0.182
OOTY,OOTY_20110914_105958_58.fit.gz,40155.8,False,28,46.81,129.69,2.093,0.068
OOTY,OOTY_20110914_105958_59.fit.gz,40445.2,False,23,45.75,402.12,3.927,0.015
OOTY,OOTY_20110914_111458_58.fit.gz,40777.5,False,48,45.75,366.69,-4.435,0.386
OOTY,OOTY_20110914_111458_59.fit.gz,40775.9,False,38,45.75,416.56,-4.174,0.028
OOTY,OOTY_20110914_112958_58.fit.gz,41774.5,False,30,46.06,129.69,-0.383,0.002
OOTY,OOTY_20110914_112958_59.fit.gz,41774.9,False,36,45.75,418.56,-10.742,0.085
OSRA,OSRA_20110914_074600_59.fit.gz,27972.9,False,8,150.0,450.31,37.012,0.764
OSRA,OSRA_20110914_080000_59.fit.gz,29478.9,False,9,150.0,455.31,23.938,0.714
OSRA,OSRA_20110914_081500_59.fit.gz,29960.6,False,8,406.81,455.31,8.004,0.529
OSRA,OSRA_20110914_083000_59.fit.gz,30693.1,False,6,406.81,446.0,,-0.0
OSRA,OSRA_20110914_084500_59.fit.gz,32363.0,False,10,150.0,446.0,83.732,0.665
OSRA,OSRA_20110914_090000_59.fit.gz,32531.9,False,5,414.56,446.0,,0.0
OSRA,OSRA_20110914_091500_59.fit.gz,33804.9,False,7,414.56,804.69,38.709,0.917
OSRA,OSRA_20110914_092959_59.fit.gz,34341.2,False,7,150.0,450.31,-22.294,0.606
OSRA,OSRA_20110914_094502_59.fit.gz,35322.4,False,6,150.0,446.0,-36.48,0.988
OSRA,OSRA_20110914_100002_59.fit.gz,36372.9,False,6,406.81,446.0,-5.146,0.82
OSRA,OSRA_20110914_101502_59.fit.gz,36916.1,False,7,385.69,684.12,10.451,0.259
OSRA,OSRA_20110914_103002_59.fit.gz,38493.0,False,9,406.81,494.5,-8.17,0.378
OSRA,OSRA_20110914_104502_59.fit.gz,39520.5,False,8,406.81,455.31,5.565,0.283
OSRA,OSRA_20110914_110000_59.fit.gz,40136.5,False,9,406.81,566.06,-21.028,0.391
OSRA,OSRA_20110914_111500_59.fit.gz,40730.1,False,8,150.0,450.31,-556.554,0.976
OSRA,OSRA_20110914_113000_59.fit.gz,41630.8,False,8,406.81,489.88,-82.131,0.662
OSRA,OSRA_20110914_114500_59.fit.gz,42899.9,False,7,406.81,450.31,-0.288,0.002
OSRA,OSRA_20110914_120000_59.fit.gz,43893.9,False,6,406.81,446.0,10.81,0.486
OSRA,OSRA_20110914_121500_59.fit.gz,44439.4,False,7,406.81,450.31,6.232,0.334
OSRA,OSRA_20110914_123000_59.fit.gz,45518.5,False,8,176.5,446.0,11.032,0.019
OSRA,OSRA_20110914_124459_59.fit.gz,46298.5,False,6,406.81,446.0,,-0.0
OSRA,OSRA_20110914_125959_59.fit.gz,47277.2,False,9,150.0,450.31,91.705,0.589
OSRA,OSRA_20110914_131459_59.fit.gz,47863.8,False,6,150.0,446.0,-29.502,0.492
OSRA,OSRA_20110914_132959_59.fit.gz,48876.2,False,6,406.81,446.0,205.398,0.486
OSRA,OSRA_20110914_134459_59.fit.gz,49593.5,False,7,406.81,450.31,-2.551,0.499
OSRA,OSRA_20110914_140000_59.fit.gz,50953.0,False,6,406.81,446.0,-2.755,0.336
OSRA,OSRA_20110914_141500_59.fit.gz,51724.0,False,7,406.81,450.31,4.334,0.498
OSRA,OSRA_20110914_143000_59.fit.gz,53076.0,False,5,406.81,438.38,1.559,0.132
OSRA,OSRA_20110914_144500_59.fit.gz,53728.5,False,8,150.0,446.0,91.535,0.99
OSRA,OSRA_20110914_150001_59.fit.gz,54152.1,False,8,150.0,450.31,25.335,0.25
OSRA,OSRA_20110914_151501_59.fit.gz,55177.1,False,7,150.0,425.38,31.272,0.999
OSRA,OSRA_20110914_153001_59.fit.gz,56138.5,False,9,150.0,438.38,-3.786,0.013
OSRA,OSRA_20110914_154501_59.fit.gz,57594.5,False,7,406.81,450.31,-7.743,0.29
RCAG,RCAG_20110914_000000_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_001500_59.fit.gz,1657.6,False,4,410.94,422.12,-0.034,0.001
RCAG,RCAG_20110914_002959_59.fit.gz,2212.6,False,2,416.5,420.0,0.56,
RCAG,RCAG_20110914_004459_59.fit.gz,3578.0,False,6,415.0,423.19,-0.763,0.183
RCAG,RCAG_20110914_005959_59.fit.gz,3704.0,False,3,410.94,421.38,1.182,0.808
RCAG,RCAG_20110914_011459_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_012959_59.fit.gz,5506.2,False,2,416.5,421.38,-2.438,
RCAG,RCAG_20110914_014459_59.fit.gz,7097.4,False,2,265.12,416.5,-17.3,
RCAG,RCAG_20110914_015959_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_021447_59.fit.gz,8454.5,False,2,420.0,421.38,,
RCAG,RCAG_20110914_022947_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_024447_59.fit.gz,10524.2,False,4,415.0,421.38,-0.342,0.527
RCAG,RCAG_20110914_025947_59.fit.gz,10837.2,False,3,416.5,421.38,0.493,0.925
RCAG,RCAG_20110914_031447_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_035947_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_041447_59.fit.gz,16150.5,False,2,290.81,416.5,-35.911,
RCAG,RCAG_20110914_074446_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_075946_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_081446_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_082946_59.fit.gz,31157.8,False,3,416.5,421.38,0.985,0.925
RCAG,RCAG_20110914_084446_59.fit.gz,32336.2,False,3,416.5,421.38,-18.624,0.993
RCAG,RCAG_20110914_085946_59.fit.gz,32858.4,False,2,416.5,421.38,0.591,
RCAG,RCAG_20110914_091446_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_092946_59.fit.gz,34200.9,False,2,416.5,416.94,-0.25,
RCAG,RCAG_20110914_094446_59.fit.gz,35911.2,False,5,390.12,421.38,0.955,0.038
RCAG,RCAG_20110914_095946_59.fit.gz,36456.5,False,5,390.12,422.12,3.571,0.661
RCAG,RCAG_20110914_101446_59.fit.gz,37604.0,False,5,404.75,422.12,2.263,0.433
RCAG,RCAG_20110914_102945_59.fit.gz,38206.0,False,5,390.12,422.12,-3.12,0.991
RCAG,RCAG_20110914_104445_59.fit.gz,39081.1,False,4,404.75,422.12,-1.553,0.655
RCAG,RCAG_20110914_105945_59.fit.gz,40195.2,False,5,406.25,422.12,0.965,0.933
RCAG,RCAG_20110914_111445_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_112945_59.fit.gz,41995.8,False,3,411.38,423.19,-5.798,0.731
RCAG,RCAG_20110914_114445_59.fit.gz,43092.2,False,2,416.5,420.0,-0.5,
RCAG,RCAG_20110914_115945_59.fit.gz,44033.8,False,5,401.19,422.12,-0.187,0.005
RCAG,RCAG_20110914_121445_59.fit.gz,44586.2,False,2,416.5,420.0,0.5,
RCAG,RCAG_20110914_122945_59.fit.gz,45831.9,False,4,415.0,436.88,-1.9,0.988
RCAG,RCAG_20110914_124445_59.fit.gz,46132.0,False,9,235.0,440.0,114.194,0.216
RCAG,RCAG_20110914_125945_59.fit.gz,47242.0,False,7,235.0,440.0,8.341,0.311
RCAG,RCAG_20110914_131445_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_132945_59.fit.gz,49071.5,False,6,401.19,420.0,-2.144,0.958
RCAG,RCAG_20110914_134445_59.fit.gz,50375.8,False,9,399.25,423.19,0.449,0.051
RCAG,RCAG_20110914_135945_59.fit.gz,50397.5,False,7,399.25,423.19,-1.873,0.855
RCAG,RCAG_20110914_141445_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_142945_59.fit.gz,52588.8,False,4,404.75,434.62,-5.322,0.998
RCAG,RCAG_20110914_144445_59.fit.gz,53269.0,False,2,420.0,423.19,0.336,
RCAG,RCAG_20110914_145944_59.fit.gz,54066.5,False,2,410.94,423.19,6.125,
RCAG,RCAG_20110914_151444_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_152944_59.fit.gz,56530.6,False,2,400.38,434.62,-2.686,
RCAG,RCAG_20110914_154444_59.fit.gz,57491.0,False,3,410.94,416.5,-0.175,0.221
RCAG,RCAG_20110914_155944_59.fit.gz,57612.8,False,3,400.38,416.5,-1.382,0.783
RCAG,RCAG_20110914_161444_59.fit.gz,59251.5,False,2,401.19,401.81,0.069,
RCAG,RCAG_20110914_162944_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_164444_59.fit.gz,61013.5,False,2,410.94,416.5,11.124,
RCAG,RCAG_20110914_165944_59.fit.gz,61669.0,False,2,265.88,423.19,-314.626,
RCAG,RCAG_20110914_171444_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_172944_59.fit.gz,63790.6,False,2,400.38,434.62,-5.074,
RCAG,RCAG_20110914_174444_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_175944_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_181444_59.fit.gz,66253.8,False,3,251.31,434.62,-12.999,0.996
RCAG,RCAG_20110914_182944_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_184444_59.fit.gz,68097.5,False,3,406.25,434.62,1.649,0.827
RCAG,RCAG_20110914_185944_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_191444_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_192944_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_194443_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_195943_59.fit.gz,72008.6,False,2,401.19,410.94,-39.0,
RCAG,RCAG_20110914_201443_59.fit.gz,73030.2,False,2,392.19,434.62,7.073,
RCAG,RCAG_20110914_202943_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_204443_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_205943_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_211443_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_212943_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_214443_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_215943_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_221500_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_223000_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_224500_59.fit.gz,,False,0,,,nan,nan
RCAG,RCAG_20110914_230000_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_231500_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_233000_59.fit.gz,,False,1,,,nan,nan
RCAG,RCAG_20110914_234500_59.fit.gz,,False,1,,,nan,nan
