jname,mjd,size,dnudot,refs,is_new
J0537-6910,52152.0,2.3,nan,Antonopoulou+2018 [aeka18] Also in Middleditch+2006 [mmw+06],False
J0537-6910,52170.0,184.0,0.8,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52241.0,426.0,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52378.0,168.0,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52453.0,218.0,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52545.0,420.0,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52731.0,146.0,0.6,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52807.0,255.0,0.6,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,52886.0,234.6,0.44,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53014.0,338.0,0.7,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53125.5,17.0,0.4,Antonopoulou+2018 [aeka18],False
J0537-6910,53145.0,391.1,0.19,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53288.0,395.0,0.7,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53445.0,260.0,0.9,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53550.0,321.0,0.7,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53696.0,409.0,0.7,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53861.0,235.0,0.8,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53951.3,18.0,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18] and Middleditch+2006 [mmw+06],False
J0537-6910,53999.0,352.0,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54094.0,371.0,0.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54243.0,1.0,nan,Antonopoulou+2018 [aeka18],False
J0537-6910,54271.0,488.0,0.8,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54448.0,239.0,0.8,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54538.0,114.0,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54578.0,147.0,0.0,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54639.0,128.7,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54712.0,105.0,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54767.0,362.0,0.6,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,54895.0,341.0,0.5,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55043.0,217.0,0.8,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55184.0,209.0,1.1,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55280.0,549.0,0.3,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55451.0,169.0,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55519.0,122.0,0.4,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55552.0,8.0,-2.0,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
