jname,mjd,size,dnudot,refs,is_new
B1338-62,57647.0,706.0,0.77,Lower+2021 [ljd+21],False
B1338-62,57880.0,60.0,nan,Lower+2021 [ljd+21],False
B1338-62,58178.0,nan,nan,Lower+2021 [ljd+21],False
B1338-62,58214.0,nan,nan,Lower+2021 [ljd+21],False
J1341-6023,59450.0,5774.98,nan,Keith+2024 [kjk+24],False
J1357-6429,52021.0,2428.0,6.3,"Espinoza+2011 [elsk11], also in Camilo+2004 [cml+04]",False
J1357-6429,54803.0,1752.0,2.8,Weltevrede+2010 [wjm+10],False
J1357-6429,55576.0,4860.0,14.7,Lower+2021 [ljd+21],False
J1357-6429,57795.0,2250.0,7.0,Lower+2021 [ljd+21],False
J1357-6429,58148.0,1930.0,nan,Lower+2021 [ljd+21],False
J1406-6121,56193.0,143.5,2.0,Lower+2021 [ljd+21],False
J1410-6132,54652.0,272.6,-3.31,Weltevrede+2010 [wjm+10],False
J1412-6145,51868.0,7253.0,18.0,Yu+2012 [ymh+12],False
J1413-6205,54735.0,1730.0,nan,Belfore+2011 [3rd Fermi symp.],False
J1413-6141,51290.0,39.0,nan,Yu+2012 [ymh+12],False
J1413-6141,51463.0,970.0,nan,Yu+2012 [ymh+12],False
J1413-6141,51796.3,59.7,-0.3,Yu+2012 [ymh+12],False
J1413-6141,52092.0,811.0,0.3,Yu+2012 [ymh+12],False
J1413-6141,52899.4,46.9,nan,Yu+2012 [ymh+12],False
J1413-6141,53125.0,1410.0,nan,Yu+2012 [ymh+12],False
J1413-6141,54286.0,2409.8,0.4,Yu+2012 [ymh+12],False
J1413-6141,55744.0,235.0,nan,Lower+2021 [ljd+21],False
J1413-6141,56147.0,200.0,nan,Lower+2021 [ljd+21],False
J1413-6141,56567.0,371.0,nan,Lower+2021 [ljd+21],False
J1413-6141,56975.0,30.0,nan,Lower+2021 [ljd+21],False
J1413-6141,57236.0,266.0,nan,Lower+2021 [ljd+21],False
J1413-6141,57509.0,356.0,nan,Lower+2021 [ljd+21],False
J1413-6141,57838.0,2137.0,nan,Lower+2021 [ljd+21],False
J1420-6048,51600.0,1146.2,3.8,Yu+2012 [ymh+12],False
J1420-6048,52754.0,2019.0,6.6,Yu+2012 [ymh+12],False
J1420-6048,53725.0,1270.0,3.9,Yu+2012 [ymh+12],False
J1420-6048,54652.0,937.1,2.95,"Weltevrede+2011 [wje11], also in Yu+2012 [ymh+12]; also in Liu+24 [lyg+24]",False
J1420-6048,55410.0,1346.0,nan,Yu+2012 [ymh+12]; also in Liu+24 [lyg+24],False
J1420-6048,56267.0,1954.2,5.7,Lower+2021 [ljd+21]; also in Liu+24 [lyg+24],False
J1420-6048,57210.0,1210.0,9.0,Lower+2021 [ljd+21]; also in Liu+24 [lyg+24],False
J1420-6048,58555.0,2777.0,64.0,Liu+24 [lyg+24],False
B1449-64,54552.0,0.3,0.6,Yu+2012 [ymh+12],False
B1449-64,59015.0,1.14,nan,Keith+2024 [kjk+24],False
J1452-6036,55055.22,29.0,0.19,Yu+2012 [ymh+12],False
J1452-6036,57115.0,0.13,nan,Lower+2021 [ljd+21],False
J1524-5625,55745.0,2977.0,15.5,Lower+2021 [ljd+21],False
J1524-5625,59297.0,2076.0,nan,Keith+2024 [kjk+24],False
B1508+55,41732.0,0.2,-6.0,Manchester+1974 [mt74],False
B1530+27,49732.0,0.29,-1.0,Espinoza+2011 [elsk11],False
J1531-5610,51731.0,2637.0,25.0,Yu+2012 [ymh+12],False
B1535-56,48165.0,2793.0,1.0,Johnston+1995 [jml+95],False
B1610-50,49803.0,6460.0,9.7,Wang+2000 [wmp+00],False
B1610-50,53013.0,6242.0,9.14,Yu+2012 [ymh+12],False
B1610-50,55734.0,4098.0,3.0,Lower+2021 [ljd+21],False
B1610-50,56443.0,5949.0,nan,Lower+2021 [ljd+21],False
J1617-5055,46960.0,600.0,nan,Torii+2000 [tgv+00],False
J1617-5055,54747.0,334.0,9.0,Lower+2021 [ljd+21],False
J1617-5055,55164.0,11.0,0.8,Lower+2021 [ljd+21],False
J1617-5055,55316.0,68.0,2.2,Lower+2021 [ljd+21],False
J1617-5055,55873.0,55.0,1.1,Lower+2021 [ljd+21],False
J1617-5055,56267.0,2068.0,13.2,Lower+2021 [ljd+21],False
J1636-2614,56472.0,0.71,0.1,Basu+2021 [bsa+21]; also in Burgay+2019 (as J1636-2614) [bsb+19],False
B1641-45,43390.0,191.0,2.0,Manchester et al. (1978) [mngh7],False
B1641-45,46453.0,803.6,0.5,Flanagan (1993) [fla93],False
B1641-45,47589.0,1.61,1.1,Flanagan (1993) [fla93],False
B1641-45,56600.0,717.4,0.4,Lower+2021 [ljd+21],False
B1643-43,53876.0,885.0,1.5,Yu+2012 [ymh+12],False
B1643-43,55288.0,8591.0,16.0,Lower+2021 [ljd+21],False
CXO_J164710.2-455216,53999.0,65000.0,nan,Israel+2007 [icd+07],False
J1650-4502,57778.0,12767.0,290.0,Lower+2021 [ljd+21],False
J1702-4128,57719.0,3090.0,10.0,Lower+2021 [ljd+21],False
J1702-4310,53943.0,4810.0,17.0,Yu+2012 [ymh+12],False
J1702-4310,57510.0,3129.0,5.0,Lower+2021 [ljd+21],False
B1702-19,48902.0,0.4,1.0,Espinoza+2011 [elsk11],False
B1702-19,55171.0,0.28,nan,Basu+2021 [bsa+21],False
B1702-19,55955.0,0.3,nan,Basu+2021 [bsa+21],False
B1702-19,57954.0,0.18,nan,Basu+2021 [bsa+21],False
J1705-3423,51956.0,0.59,1.0,Espinoza+2011 [elsk11],False
J1705-3423,54408.0,0.57,3.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
J1705-3423,55503.0,0.6,5.0,New - Our measurement,True
J1705-3950,58236.0,9331.0,61.0,Lower+2021 [ljd+21],False
B1706-44,48775.0,2057.0,4.0,Johnston+1995 [jml+95],False
B1706-44,51488.0,1167.0,6.2,Yu+2012 [ymh+12],False
B1706-44,52716.0,2872.0,8.0,Yu+2012 [ymh+12],False
B1706-44,54710.0,2749.7,4.95,Weltevrede+2010 [wjm+10]; also in Liu+24 [lyg+24],False
B1706-44,56339.0,2694.0,9.7,Liu+24 [lyg+24],False
B1706-44,58176.0,52.4,nan,Lower+2018 [lfb+18]; also in Liu+24 [lyg+24],False
1RXS_J1708-4009,51445.0,561.0,5.0,Dib+2008 [dkg08],False
1RXS_J1708-4009,52016.0,4202.0,620.0,Dib+2008 [dkg08],False
1RXS_J1708-4009,52990.0,308.0,0.0,Dib+2008 [dkg08],False
1RXS_J1708-4009,53366.0,572.0,12.0,Dib+2008 [dkg08],False
1RXS_J1708-4009,53549.0,2707.0,12.0,Dib+2008 [dkg08],False
1RXS_J1708-4009,53636.0,737.0,-36.0,Dib+2008 [dkg08],False
B1717-16,51169.0,1.5,8.0,Espinoza+2011 [elsk11],False
J1718-3825,54911.0,1.94,-0.12,Yu+2012 [ymh+12]; also in Liu+24 [lyg+24],False
J1718-3825,57950.0,7.1,nan,Lower+2021 [ljd+21]; also in Liu+24 [lyg+24],False
J1718-3825,59121.0,1.9,-0.12,Liu+24 [lyg+24],False
B1718-35,49971.0,7.5,0.3,Espinoza+2011 [elsk11],False
J1718-3718,54610.0,33250.0,6.0,Manchestre+2011 [mh11],False
B1727-33,48000.0,3033.0,4.0,Johnston+1995 [jml+95],False
B1727-33,52107.0,3202.0,5.9,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1727-33,55908.0,2254.0,5.3,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1727-33,58398.0,5.9,nan,New - Our measurement,True
B1727-47,49387.2,137.0,1.5,"Espinoza+2011 [elsk11], also in D’Alessandro+1997 [dm97],Yu+2012 [ymh+12]",False
B1727-47,50718.1,4.4,4.0,"Espinoza+2011 [elsk11], also in Wang+2000 [wmp+00],Yu+2012 [ymh+12]",False
B1727-47,52472.7,126.4,3.4,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1727-47,53582.0,2.7,0.2,Yu+2012 [ymh+12],False
B1727-47,56975.0,6.4,nan,Lower+2021 [ljd+21],False
B1727-47,57984.0,3147.7,nan,Jankowski+17 (ATEL #10770); also in Basu+2019 [bkj+19],False
J1730-3353,54004.0,68.9,nan,New - Our measurement,True
J1734-3333,56340.0,90.0,1.0,Basu+2021 [bsa+21],False
J1734-3333,58944.0,24.0,nan,New - agl,True
B1736-29,46965.0,3.3,1.7,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1737-30,46991.0,421.0,3.4,"Espinoza+2011 [elsk11], also in McKenna+1990 [ml90] Zou+2008 [zwm+08]",False
B1737-30,47289.0,31.0,11.0,"Espinoza+2011 [elsk11], also in McKenna+1990 [ml90], Zou+2008 [zwm+08]",False
B1737-30,47337.0,7.0,3.0,"Espinoza+2011 [elsk11], also in McKenna+1990 [ml90], Zou+2008 [zwm+08]",False
B1737-30,47466.0,26.0,0.0,"Espinoza+2011 [elsk11], also in McKenna+1990 [ml90], Zou+2008 [zwm+08]",False
B1737-30,47670.22,600.0,3.0,"Espinoza+2011 [elsk11], also in McKenna+1990 [ml90], Zou+2008 [zwm+08]",False
B1737-30,48158.0,10.0,12.0,Espinoza+2011 [elsk11],False
B1737-30,48191.69,659.0,57.0,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96], Zou+2008 [zwm+08]",False
B1737-30,48218.0,48.0,8.0,"Shemar+1996 [sl96], also in Zou+2008 [zwm+08]",False
B1737-30,48431.3,16.0,3.0,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96], Zou+2008 [zwm+08]",False
B1737-30,49047.5,17.0,2.0,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96], Zou+2008 [zwm+08]",False
B1737-30,49239.07,169.7,1.3,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96], Zou+2008 [zwm+08]",False
B1737-30,49459.0,10.0,2.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Zou+2008 [zwm+08]",False
B1737-30,49542.3,6.0,1.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Zou+2008 [zwm+08]",False
B1737-30,50574.83,442.5,2.4,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Zou+2008 [zwm+08]",False
B1737-30,50939.0,1444.0,1.8,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Urama (2002) [ura02], Zou+2008 [zwm+08], Yu+2012 [ymh+12]",False
B1737-30,51685.0,0.7,0.1,Janssen+2006 [js06],False
B1737-30,51827.0,0.9,0.1,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B1737-30,52048.0,2.0,1.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B1737-30,52245.0,4.0,-1.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06], Zou+2008 [zwm+08]",False
B1737-30,52266.0,16.0,-3.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06], Zou+2008 [zwm+08]",False
B1737-30,52346.6,158.0,1.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06], Zou+2008 [zwm+08], Yu+2012 [ymh+12]",False
B1737-30,52576.0,0.9,-0.1,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B1737-30,52779.7,1.7,-0.1,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B1737-30,52858.78,18.6,1.4,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06], Zou+2008 [zwm+08]",False
B1737-30,52942.5,20.2,1.5,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06], Zou+2008 [zwm+08]",False
B1737-30,53023.52,1850.9,2.4,"Espinoza+2011 [elsk11], also in Zou+2008 [zwm+08], Yu+2012 [ymh+12]",False
B1737-30,53473.56,0.8,0.2,Espinoza+2011 [elsk11],False
B1737-30,54450.19,45.9,4.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10], Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]",False
B1737-30,54695.19,3.0,1.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
B1737-30,54810.9,5.2,1.0,Espinoza+2011 [elsk11],False
B1737-30,54928.6,2.3,1.0,Espinoza+2011 [elsk11],False
B1737-30,55213.0,2663.0,1.2,Basu+2021 [bsa+21]; also Yu+2012 [ymh+12],False
B1737-30,55936.4,18.3,0.4,Basu+2021 [bsa+21],False
B1737-30,57346.0,1.94,0.0,Jankowski+2016; also Basu+2019 [bkj+19],False
B1737-30,57468.599,229.4,1.2,"Basu+2021 [bsa+21]; also Jankowski+2016, Basu+2019 [bkj+19]",False
B1737-30,58241.0,837.9,2.0,Basu+2021 [bsa+21]; also Basu+2019 [bkj+19],False
B1737-30,59934.8,328.3,1.37,Our measurement; ; also in Zubieta+2024 [zgp+24] and Grover+2024 [gjs+24],False
B1737-30,60980.0,2810.0,nan,Shaw+2025 [bak+25]; Also in Grover+25 [gjk+25],False
J1737-3102,57087.0,18.0,nan,Basu+2021 [bsa+21],False
J1737-3137,51559.0,4.0,0.0,Espinoza+2011 [elsk11],False
J1737-3137,53040.0,234.0,2.9,Espinoza+2011 [elsk11],False
J1737-3137,54348.0,1342.4,1.4,"Espinoza+2011 [elsk11], also in Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]",False
J1737-3137,57115.0,7.0,0.0,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1737-3137,58147.0,4498.0,1.3,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1737-3137,58858.8,1.53,0.5,New - Our measurement; also in Lower+2021 [ljd+21],True
J1737-3137,59848.0,215.6,1.22,New - Our measurement,True
B1740-31,49572.0,2.2,2.0,Espinoza+2011 [elsk11],False
J1740+1000,54747.6,1.2,1.0,Espinoza+2011 [elsk11],False
J1740+1000,56164.0,2910.9,11.0,Basu+2021 [bsa+21],False
J1746-2856,57038.0,24.4,2.1,Basu+2021 [bsa+21],False
J1751-3323,53004.0,2.3,-1.0,Yuan+2010 [ywml10],False
J1751-3323,54435.0,3.0,-1.0,Yuan+2010 [ywml10],False
J1751-3323,57019.0,13.0,-5.0,Basu+2021 [bsa+21],False
J1751-3323,58438.0,3.4,27.0,Basu+2019 [bkj+19],False
B1754-24,55716.0,7807.0,6.3,Basu+2021 [bsa+21],False
B1757-24,49476.0,1987.9,4.6,"Espinoza+2011 [elsk11], also inWang+2000 [wmp+00], Yu+2012 [ymh+12]",False
B1757-24,50651.0,1247.4,4.7,"Espinoza+2011 [elsk11], also inWang+2000 [wmp+00], Yu+2012 [ymh+12]",False
B1757-24,52055.0,3755.8,6.8,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1757-24,53033.25,17.4,1.4,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1757-24,54661.0,3101.0,9.3,"Espinoza+2011 [elsk11], also in Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]",False
B1757-24,56979.0,2413.0,5.3,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1757-24,58564.76,2250.9,3.82,New - Our measurement,True
B1758-03,48000.0,3.1,2.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
B1758-23,46907.0,216.3,-0.5,"Espinoza+2011 [elsk11], also in Kaspi+1993 [klm+9]",False
B1758-23,47855.0,230.7,-0.3,"Espinoza+2011 [elsk11], also in Kaspi+1993 [klm+9]",False
B1758-23,48453.95,348.0,0.0,"Espinoza+2011 [elsk11], also in Wang+2000 [wmp+00], Yu+2012 [ymh+12]",False
B1758-23,49701.7,66.0,2.0,"Espinoza+2011 [elsk11], also in Wang+2000 [wmp+00], Yu+2012 [ymh+12]",False
B1758-23,50055.3,22.0,-2.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Yu+2012 [ymh+12]",False
B1758-23,50363.06,81.0,2.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03], Yu+2012 [ymh+12]",False
B1758-23,50939.0,6.0,4.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1758-23,52093.0,646.7,0.9,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B1758-23,53306.98,497.0,-1.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
B1758-23,55360.0,2.9,nan,Basu+2021 [bsa+21]; also Yu+2012 [ymh+12],False
B1758-23,55841.0,1.7,nan,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1758-23,56149.024,513.8,1.2,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1758-23,57586.2,48.67,0.79,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1758-23,58846.0,5.0,nan,New - Our measurement,True
B1758-23,58993.5,374.0,nan,New - Our measurement,True
B1800-21,48245.0,4074.4,9.3,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1800-21,50264.1,7.1,0.5,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
B1800-21,50777.0,3184.0,8.0,"Espinoza+2011 [elsk11], also inWang+2000 [wmp+00], Yu+2012 [ymh+12]",False
B1800-21,53429.0,3929.3,10.6,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10], Yu+2012 [ymh+12]",False
B1800-21,55775.0,4793.0,18.6,New - Our measurement; also in Lower+2021 [ljd+21],True
B1800-21,58958.0,4960.6,8.5,New - Our measurement. Also in Keith+2024 [kjk+24],True
J1806-2125,51708.0,15773.1,37.0,"Espinoza+2011 [elsk11], also in Hobbs+2002 [hlj+02]",False
J1809-0119,55406.0,1.7,0.0,"Our measurement, also in Bates+2012 [bbb+12]",False
J1809-0119,55803.0,3.0,0.0,"Our measurement, also in Bates+2012 [bbb+12]",False
B1809-173,49932.0,1.5,6.0,Espinoza+2011 [elsk11],False
B1809-173,53106.2,14.8,7.0,"Espinoza+2011 [elsk11] also, in Yuan+2010 [ywml10]",False
B1809-173,54365.8,1.4,1.0,"Espinoza+2011 [elsk11] also, in Yuan+2010 [ywml10]",False
J1809-1917,53251.0,1625.1,7.8,Espinoza+2011 [elsk11],False
J1809-2004,54196.0,2.0,7.0,Espinoza+2011 [elsk11],False
J1809-2004,56227.5,48.67,0.79,Basu+2021 [bsa+21],False
J1809-2004,58743.0,3.47,0.05,New - Our measurement,True
J1813-1246,55094.0,1166.0,6.4,Ray+2011 [rkp+11],False
J1814-1744,51371.0,8.0,-3.0,Espinoza+2011 [elsk11],False
J1814-1744,51678.0,10.0,5.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
J1814-1744,52075.0,34.0,-5.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
J1814-1744,53241.0,3.0,0.7,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
J1814-1744,53756.4,11.0,8.0,Espinoza+2011 [elsk11],False
J1814-1744,54768.4,17.0,2.0,New - Our measurement,True
J1814-1744,55626.0,16.0,0.3,Basu+2021 [bsa+21],False
B1815-14,52057.0,0.54,-0.7,Yuan+2010 [ywml10],False
J1818-1607,59828.56,3700.0,-120.0,Hu+20 [hbg+20],False
J1819-1458,53925.79,725.0,78.0,"Espinoza+2011 [elsk11], also in Lyne+2009 [lmk+09]",False
J1819-1458,54176.5,72.0,36.0,"Espinoza+2011 [elsk11], also in Lyne+2009 [lmk+09]",False
B1821-11,54306.0,2877.0,-10.0,Espinoza+2011 [elsk11],False
J1821-1419,53074.0,225.0,nan,New - Our measurement,True
J1821-1419,57372.0,109.0,nan,New - Our measurement,True
J1821-1419,58860.0,222.4,0.92,New - Our measurement,True
J1821-1419,59586.0,34.0,1.0,New - Our measurement,True
B1821-24A,51980.0,0.008,0.0,"Espinoza+2011 [elsk11], also in Cognard+2004 [cb04]",False
B1822-09,49942.1,2.8,-2.0,"Espinoza+2011 [elsk11], also in Shabanova (1998) [sha98]",False
B1822-09,50314.0,1.3,0.0,Espinoza+2011 [elsk11],False
B1822-09,52056.0,29.8,3.4,"Espinoza+2011 [elsk11], mentioned in Zou+2004 [zww+04]",False
B1822-09,52810.0,1.3,-2.0,"Espinoza+2011 [elsk11], mentioned in Zou+2004 [zww+04]",False
B1822-09,53734.6,4.0,-6.0,"Espinoza+2011 [elsk11], also in Shabanova (2007) [sha07], Yuan+2010 [ywml10]",False
B1822-09,54114.96,121.0,-4.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10], Yu+2012 [ymh+12]",False
B1822-09,58486.2,3.8,nan,New - Our measurement,True
B1823-13,46507.0,2746.0,1.7,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1823-13,49120.0,2984.6,7.6,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1823-13,53206.0,0.6,-1.0,Espinoza+2011 [elsk11],False
B1823-13,53259.0,3.0,-1.0,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10], Yu+2012 [ymh+12]",False
B1823-13,53737.0,3581.0,9.6,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10], Yu+2012 [ymh+12]",False
B1823-13,56556.0,2599.7,10.1,Basu+2021 [bsa+21],False
B1823-13,58879.0,2481.5,5.9,New - Our measurement. Also in Keith+2024 [kjk+24],True
B1824-10,48764.0,0.4,nan,Basu+2021 [bsa+21],False
B1828-11,55040.9,6.3,nan,Basu+2021 [bsa+21],False
J1828-1101,60719.0,1015.27,4.91,New - Our measurement,True
B1830-08,47541.3,0.9,-0.1,Espinoza+2011 [elsk11],False
B1830-08,48051.0,1865.6,1.742,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1830-08,54779.0,0.5,0.15,Basu+2021 [bsa+21],False
B1830-08,58922.0,0.15,-0.03,New - Our measurement,True
B1830-08,60897.0,1.56,nan,New - Our measurement,True
J1830-1135,52367.0,2.1,1.0,Espinoza+2011 [elsk11],False
J1833-1034,54169.0,3.1,1.4,Roy+2012 [rgl12],False
J1833-1034,54423.0,1.1,4.0,Roy+2012 [rgl12],False
J1833-1034,54750.0,3.6,-7.7,Roy+2012 [rgl12],False
J1833-1034,55142.0,7.5,-9.9,Roy+2012 [rgl12],False
J1832+0029,53498.0,66.0,53.0,New - our measurement,True
B1834-10,55744.0,3.6,nan,Basu+2021 [bsa+21],False
B1834-10,58920.0,4702.0,nan,Keith+2024 [kjk+24],False
B1834-10,59329.0,1.88,0.3,New - Our measurement,True
J1834-0731,53479.0,4.4,0.6,Espinoza+2011 [elsk11],False
J1835-0024,58649.0,0.8,1.02,New - Our measurement,True
J1835-1020,57589.5,3.26,0.2,Basu+2021 [bsa+21],False
J1835-1106,52225.8,15.6,2.5,"Espinoza+2011 [elsk11], also in Zou+2004 [zww+04], Yu+2012 [ymh+12]",False
J1835-1106,58488.0,9.3,4.0,New - Our measurement,True
J1837-0604,55821.0,1398.0,6.9,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1837-0604,56511.0,16.7,nan,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1837-0604,58233.7,70.0,nan,Basu+2019 [bkj+19],False
J1837-0604,56910.0,3290.0,nan,Keith+2024 [kjk+24],False
J1837-0559,53150.0,3.2,13.0,Espinoza+2011 [elsk11],False
J1837-0559,56258.0,0.2,nan,Basu+2021 [bsa+21],False
J1837-0559,58022.0,3.4,nan,Basu+2021 [bsa+21],False
AX_1838.0-0655,55010.0,1550.0,nan,Kuiper+2010 [kh10],False
J1838-0537,55100.0,5500.0,-15.0,Pletsch+2012 [pga+12],False
J1838-0453,52162.0,9902.0,7.0,Espinoza+2011 [elsk11],False
J1838-0453,54140.0,9.0,-0.1,Espinoza+2011 [elsk11],False
J1838-0453,58692.0,71.0,-6.0,New - Our measurement,True
B1838-04,53388.0,578.6,7.7,"Espinoza+2011 [elsk11] also, in Yuan+2010 [ywml10]",False
J1839-0223,56994.0,3.17,3.5,Basu+2021 [bsa+21],False
J1841-0345,56863.0,3879.0,2.7,New - Our Measurement,True
B1841-05,47452.0,1.0,0.9,Espinoza+2011 [elsk11],False
J1841-0524,53562.0,29.0,1.0,Espinoza+2011 [elsk11],False
J1841-0524,54012.9,25.0,2.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
J1841-0524,54503.0,1032.0,0.7,"Espinoza+2011 [elsk11], also in Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]",False
J1841-0524,55525.0,804.9,0.8,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1841-0524,56564.6,21.6,nan,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J1841-0524,57101.53,1011.6,1.01,New - Our measurement,True
J1841-0524,58738.6,130.4,0.6,New - Our measurement,True
J1841-0524,59111.6,128.0,0.1,New - Our measurement,True
1E_1841-045,52464.0,15170.0,96.0,Based on Table 8 in Dib+2008 [dkg08],False
1E_1841-045,52997.05,2450.0,-1.0,Based on Table 8 in Dib+2008 [dkg08],False
1E_1841-045,53823.97,1390.0,-7.0,Based on Table 8 in Dib+2008 [dkg08],False
B1841-04,49358.0,0.22,-0.03,Basu+2021 [bsa+21],False
J1841-0157,56923.6,33.3,nan,Basu+2021 [bsa+21],False
J1842+0257,57112.0,12060.9,1.0,Basu+2021 [bsa+21],False
J1843-0509,59269.0,10.82,1.95,New - Our measurement,True
J1844-0310,54410.0,1.8,-0.5,New - Our measurement,True
J1844+00,51435.0,0.3,1.0,Espinoza+2011 [elsk11],False
J1844+00,51722.5,5.2,4.0,Espinoza+2011 [elsk11],False
J1844+00,56784.0,249.55,4.1,Basu+2021 [bsa+21],False
J1845-0316,52128.0,30.0,-2.0,Espinoza+2011 [elsk11],False
J1845-0316,54170.0,72.0,3.0,Espinoza+2011 [elsk11],False
J1845-0316,58617.0,818.84,0.67,New - Our measurement,True
J1845-0743,57939.0,0.04,-0.11,Basu+2021 [bsa+21],False
J1846-0258,52210.0,2.5,0.93,Livingstone+2006 [lkgk06],False
J1846-0258,53883.0,6200.0,4.46,"Livingstone+2009 [lkg09], also in Kuiper+2009 [kh09]",False
B1846-06,60237.0,0.66,0.21,New - Our measurement,True
B1844-04,55502.0,0.52,0.04,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
B1844-04,56041.0,0.102,0.0,New - Our measurement (Shaw/Lyne),True
B1844-04,58244.0,0.16,0.01,Lower+2021 [ljd+21],False
J1847-0130,53426.0,15.0,-3.0,Espinoza+2011 [elsk11],False
J1847-0130,54784.45,80.0,6.0,Espinoza+2011 [elsk11],False
J1847-0130,58857.79,567.0,1.2,New - Our measurement,True
J1849-0001,60428.0,1740.0,82.0,Kuiper+2024 [khe+24],False
J1849-0317,58306.0,33.0,nan,Basu+2021 [bsa+21],False
J1850-0026,56239.2,14.3,0.9,Basu+2021 [bsa+21],False
J1850-0026,56425.0,91.9,0.8,Basu+2021 [bsa+21],False
J1850-0026,57495.3,7.0,0.7,Basu+2021 [bsa+21],False
J1850-0026,57708.0,1196.7,0.8,Basu+2021 [bsa+21],False
J1851-0029,54493.0,0.9,-3.0,Espinoza+2011 [elsk11],False
J1853+0056,54970.0,5.4,0.4,Basu+2021 [bsa+21],False
B1853+01,54123.0,11569.0,22.0,Espinoza+2011 [elsk11],False
B1853+01,57325.0,3489.0,2.8,Basu+2021 [bsa+21],False
J1853+0545,53450.0,1.49,1.6,Yuan+2010 [ywml10],False
J1854-1557,58639.0,8.21,7.0,New - Our measurement,True
J1856+0245,56388.0,2672.5,8.4,Basu+2021 [bsa+21],False
B1859+01,51318.0,42.4,0.8,Espinoza+2011 [elsk11],False
B1859+01,58149.0,1053.02,2.1,Basu+2021 [bsa+21],False
