name,gaia_id,epoch,ra_prop,dec_prop,epoch_mjd,band_mhz,i_mjy,e_i,v_mjy,e_v,n_products,note
CNS5  723,35227046884571776,mid2,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: HTTPError('503 Server Error: Service Unavailable for url: https://casda.csiro.au/casda_data_access/data/async?ID=yXcGxz7H9AYEhKDIJeox0ORTcqkLPc7J7xzzhpPETAiuX_yBLgtoqE2nfj8Gj35Z')
CNS5 1304,4810594479418041856,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: HTTPError('503 Server Error: Service Unavailable for url: https://casda.csiro.au/casda_data_access/data/async?ID=cicP3aNy60Pdg8zlX_nCML664Fq_9JRRaXzqyw545Qf0JeQ80wciyA8v8QhaSUnW')
CNS5 1304,4810594479418041856,mid2,77.984444,-45.059040,60896.01307,1367.5,0.2137,0.1573,-0.3298,0.1552,2,offset_arcsec=7.91
CNS5 5246,6583272171336048640,mid1,319.289209,-38.874047,59213.26636,1367.5,nan,nan,nan,nan,4,offset_arcsec=nan
CNS5 5246,6583272171336048640,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4651,6439125097427143808,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4651,6439125097427143808,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2647,5393446658454453632,mid1,162.051723,-39.941016,59238.77641,1367.5,0.3734,0.1640,0.0927,0.1577,4,offset_arcsec=10.58
CNS5 2647,5393446658454453632,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4043,4330690742322011520,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4043,4330690742322011520,mid2,247.574576,-12.670777,60638.21729,1367.5,0.3965,0.1895,0.2844,0.1769,2,offset_arcsec=10.93
CNS5 3092,3902874650602495232,mid1,188.311963,9.022395,59217.90468,1367.5,0.3484,0.1670,0.1402,0.1292,2,offset_arcsec=10.87
CNS5 3092,3902874650602495232,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('You do not have access to any of the requested data files.')
CNS5   19,2306965202564744064,mid1,1.393181,-37.371004,59224.35148,1367.5,0.4713,0.1756,0.0158,0.1433,2,offset_arcsec=9.94
CNS5   19,2306965202564744064,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: HTTPError('500 Server Error: Internal Server Error for url: https://data.csiro.au/casda_vo_proxy/vo/datalink/links?ID=cube-560273')
CNS5  510,76868614540049408,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5  510,76868614540049408,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 3093,3902874650601954816,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 3093,3902874650601954816,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4293,5951824121022278144,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4293,5951824121022278144,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2648,3757613049856225792,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2648,3757613049856225792,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 5644,2603090003484152064,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 5644,2603090003484152064,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2631,5254061535106490112,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2631,5254061535106490112,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5   28,2441630500517079808,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5   28,2441630500517079808,mid2,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5  732,4752399493622045696,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
