# STEREO-A/WAVES HFR 20130515; pad_s=2400; snr_threshold=5
freq_mhz,time_s
16.025,13620.0
15.975,13620.0
15.925,13620.0
15.875,13620.0
15.825,13620.0
15.775,13620.0
15.725,13620.0
15.675,13620.0
15.625,13620.0
15.575,13620.0
15.525,13620.0
15.475,13620.0
15.425,13620.0
15.375,13620.0
15.325,13620.0
15.275,13620.0
15.225,13620.0
15.175,13620.0
15.125,13620.0
15.075,13620.0
15.025,13620.0
14.975,13620.0
14.925,13620.0
14.875,13620.0
14.825,13620.0
14.775,13620.0
14.725,13620.0
14.675,13620.0
14.625,13620.0
14.575,13620.0
14.525,13620.0
14.475,13620.0
14.425,13620.0
14.375,13620.0
14.325,13620.0
14.275,13620.0
14.225,13620.0
14.175,13620.0
14.125,13620.0
14.075,13620.0
14.025,13620.0
13.975,13620.0
13.925,13620.0
13.875,13620.0
13.825,13620.0
13.775,13620.0
13.725,13620.0
13.675,13620.0
13.625,13620.0
13.575,13620.0
13.525,13620.0
13.475,13620.0
13.425,13620.0
13.375,13620.0
13.325,13620.0
13.275,13620.0
13.225,13620.0
13.175,13620.0
13.125,13620.0
13.075,13620.0
13.025,13620.0
12.975,13620.0
12.925,13620.0
12.875,13620.0
12.825,13620.0
12.775,13620.0
12.725,13620.0
12.675,13620.0
12.625,13620.0
12.575,13620.0
12.525,13620.0
12.475,13620.0
12.425,13620.0
12.375,13620.0
12.325,13620.0
12.275,13620.0
12.225,13620.0
12.175,13620.0
12.125,13620.0
12.075,13620.0
12.025,13620.0
11.975,13620.0
11.925,13620.0
11.875,13620.0
11.825,13620.0
11.775,13620.0
11.725,13620.0
11.675,13620.0
11.625,13620.0
11.575,13620.0
11.525,13620.0
11.475,13620.0
11.425,13620.0
11.375,13620.0
11.325,13620.0
11.275,13620.0
11.225,13620.0
11.175,13620.0
11.125,13620.0
11.075,13620.0
11.025,13620.0
10.975,13620.0
10.925,13620.0
10.875,13620.0
10.825,13620.0
10.775,13620.0
10.725,13620.0
10.675,13620.0
10.625,13620.0
10.575,13620.0
10.525,13620.0
10.475,13620.0
10.425,13620.0
10.375,13620.0
10.325,13620.0
10.275,13620.0
10.225,13620.0
10.175,13620.0
10.125,13620.0
10.075,13620.0
10.025,13620.0
9.975,13620.0
9.925,13620.0
9.875,13620.0
9.825,13620.0
9.775,13620.0
9.725,13620.0
9.675,13620.0
9.625,13620.0
9.575,13620.0
9.525,13620.0
9.475,13620.0
9.425,13620.0
9.375,13620.0
9.325,13620.0
9.275,13680.0
9.225,13620.0
9.175,13680.0
9.125,13680.0
9.075,13680.0
9.025,13680.0
8.975,13680.0
8.925,13680.0
8.875,13680.0
8.825,13680.0
8.775,13680.0
8.725,13680.0
8.675,13680.0
8.625,13680.0
8.575,13680.0
8.525,13680.0
8.475,13680.0
8.425,13680.0
8.375,13680.0
8.325,13680.0
8.275,13680.0
8.225,13680.0
8.175,13680.0
8.125,13680.0
8.075,13680.0
8.025,13680.0
7.975,13680.0
7.925,13680.0
7.875,13680.0
7.825,13680.0
7.775,13680.0
7.725,13680.0
7.675,13680.0
7.625,13680.0
7.575,13680.0
7.525,13680.0
7.475,13680.0
7.425,13680.0
7.375,13680.0
7.325,13680.0
7.275,13680.0
7.225,13680.0
7.175,13680.0
7.125,13680.0
7.075,13680.0
7.025,13680.0
6.975,13680.0
6.925,13680.0
6.875,13680.0
6.825,13680.0
6.775,13680.0
6.725,13680.0
6.675,13680.0
6.625,13680.0
6.575,13680.0
6.525,13680.0
6.475,13680.0
6.425,13680.0
6.375,13680.0
6.325,13680.0
6.275,13680.0
6.225,13680.0
6.175,13680.0
6.125,13680.0
6.075,13680.0
6.025,13680.0
5.975,13680.0
5.925,13680.0
5.875,13680.0
5.825,13680.0
5.775,13680.0
5.725,13680.0
5.675,13680.0
5.625,13680.0
5.575,13680.0
5.525,13680.0
5.475,13680.0
5.425,13680.0
5.375,13680.0
5.325,13680.0
5.275,13680.0
5.225,13680.0
5.175,13680.0
5.125,13680.0
5.075,13680.0
5.025,13680.0
4.975,13680.0
4.925,13680.0
4.875,13680.0
4.825,13680.0
4.775,13680.0
4.725,13680.0
4.675,13680.0
4.625,13680.0
4.575,13680.0
4.525,13680.0
4.475,13680.0
4.425,13680.0
4.375,13680.0
4.325,13680.0
4.275,13680.0
4.225,13680.0
4.175,13680.0
4.125,13680.0
4.075,13680.0
4.025,13680.0
3.975,13680.0
3.925,13680.0
3.875,13680.0
3.825,13680.0
3.775,13680.0
3.725,13680.0
3.675,13680.0
3.625,13680.0
3.575,13680.0
3.525,13680.0
3.475,13680.0
3.425,13680.0
3.375,13680.0
3.325,13680.0
3.275,13680.0
3.225,13680.0
3.175,13680.0
3.125,13680.0
3.075,13680.0
3.025,13680.0
2.975,13680.0
2.925,13680.0
2.875,13680.0
2.825,13680.0
2.775,13680.0
2.725,13680.0
2.675,13680.0
2.625,13680.0
2.575,13680.0
2.525,13680.0
2.475,13680.0
2.425,13680.0
2.375,13680.0
2.325,13680.0
2.275,13680.0
2.225,13680.0
2.175,13680.0
2.125,13680.0
2.075,13740.0
2.025,13740.0
1.975,13680.0
1.925,13680.0
1.875,13680.0
1.825,13680.0
1.775,13680.0
1.725,13680.0
1.675,13740.0
1.625,13680.0
1.575,13680.0
1.525,13680.0
1.475,13680.0
1.425,13680.0
1.375,13680.0
1.325,13740.0
1.275,13740.0
1.225,13740.0
1.175,13740.0
1.125,13740.0
1.075,13800.0
1.025,13800.0
0.975,13800.0
0.925,13800.0
0.875,13800.0
0.825,13800.0
0.775,13800.0
0.725,13800.0
0.675,13800.0
0.625,13800.0
0.575,13800.0
0.525,13800.0
0.475,13860.0
0.425,13860.0
0.375,13920.0
0.325,13980.0
0.275,14100.0
0.225,14220.0
0.175,14400.0
0.125,14820.0
