ra,dec,imag,z,has_cutout,has_control,detected_excluded
177.71604,24.97680,20.42,2.850,1,1,0
177.71814,24.64778,20.33,2.193,1,1,0
177.72063,23.62902,19.68,1.668,1,1,0
177.72146,24.37505,19.85,4.044,1,1,0
177.72306,24.35678,18.95,0.799,1,1,0
177.72715,26.08769,18.58,0.317,1,1,0
177.72728,24.55737,18.50,2.430,1,1,0
177.73069,24.50327,21.84,2.803,1,1,0
177.73199,25.45110,18.63,1.546,1,1,0
177.74523,25.52937,21.54,2.557,1,1,1
177.75536,24.58169,21.39,2.342,1,1,0
177.75715,25.15555,20.00,2.410,1,1,0
177.75745,25.67341,18.87,1.691,1,1,0
177.75997,25.02635,19.01,2.068,1,1,1
177.76234,23.90936,19.95,1.428,1,1,0
177.76596,23.43977,20.08,2.994,1,1,0
177.77804,23.35778,18.66,0.981,1,1,1
177.77964,27.21030,20.09,2.539,1,1,0
177.78055,24.80852,18.60,2.513,1,1,0
177.79057,24.67233,20.91,0.847,1,1,0
177.79220,26.63718,21.53,2.180,1,1,0
177.79302,24.69679,20.63,0.847,1,1,0
177.79381,24.71538,21.01,2.515,1,1,0
177.79717,23.72549,20.31,2.609,1,1,0
177.81267,26.86963,21.54,2.349,1,1,0
177.81355,25.09610,20.20,2.427,1,1,0
177.81504,23.58338,20.71,2.623,1,1,0
177.81524,22.81539,20.78,2.477,1,1,0
177.83929,24.66656,20.24,2.183,1,1,0
177.83955,23.66439,18.45,1.066,1,1,0
177.84899,24.90482,21.22,2.197,1,1,0
177.85852,27.14547,20.09,1.463,1,1,0
177.86129,26.12467,19.98,2.150,1,1,0
177.86722,23.45271,18.67,1.212,1,1,0
177.87003,26.33347,18.63,0.543,1,1,1
177.88812,23.79615,17.78,1.119,1,1,1
177.89728,26.09817,19.38,2.786,1,1,0
177.90870,23.18078,20.33,0.852,1,1,0
177.91178,25.47115,20.36,2.246,1,1,0
177.91289,25.58597,19.43,2.467,1,1,0
177.91987,23.67544,18.03,2.188,1,1,0
177.92062,25.90262,19.12,1.063,1,1,0
177.92170,24.90948,18.59,1.436,1,1,0
177.92592,23.48325,19.78,0.764,1,1,0
177.93161,26.41836,19.88,0.692,1,1,0
177.94333,25.06405,20.45,0.916,1,1,0
177.95306,23.51672,18.50,0.987,1,1,0
177.96490,24.25538,20.77,2.421,1,1,0
177.96500,27.30001,20.88,2.721,1,1,0
177.96540,22.70302,18.06,3.828,1,1,0
177.97510,26.06428,19.90,2.984,1,1,0
177.97670,25.72294,18.96,1.178,1,1,0
