ra,dec,alpha_raw,e_alpha,ref_alpha,ref_e,ref_scode,ref_sep,flagged_uss
181.94682,28.65770,-0.749,0.050,-0.810,0.022,M,2.8,0
181.94788,29.97205,-0.444,0.061,-0.699,0.045,S,6.1,0
181.95415,31.79626,-1.160,0.050,-1.097,0.040,S,1.3,0
181.95695,28.67565,-0.806,0.049,-0.752,0.020,M,5.2,0
181.95802,29.46923,-0.300,0.054,-0.205,0.072,S,0.2,0
181.99452,30.32257,-0.501,0.083,-0.290,0.000,L,2.9,0
182.00386,27.67231,-0.694,0.073,-0.662,0.132,S,6.7,0
182.03072,28.36526,-0.652,0.056,-0.727,0.058,S,1.6,0
182.04404,31.89776,-0.619,0.067,-0.514,0.144,S,2.0,0
182.05896,31.54733,-0.939,0.055,-0.883,0.065,S,1.4,0
182.06265,32.07226,-1.008,0.055,-0.997,0.063,S,0.5,0
182.07513,30.32040,-0.831,0.050,-0.806,0.039,S,1.6,0
182.08598,31.76213,-1.179,0.077,-1.079,0.111,M,1.1,0
182.09637,31.74535,-1.125,0.070,-1.449,0.078,M,3.0,0
182.09802,29.46837,-0.959,0.075,-1.168,0.063,S,3.2,0
182.10399,30.98664,-0.293,0.087,-0.116,0.000,L,4.2,0
182.10748,30.33209,-0.987,0.081,-1.074,0.102,S,2.8,0
182.11504,28.89746,-0.859,0.054,-0.844,0.055,S,0.5,0
182.15443,31.17848,-0.704,0.051,-0.681,0.048,S,1.1,0
182.15714,29.22120,-0.832,0.060,-0.695,0.085,S,5.6,0
182.18861,28.38701,-0.877,0.092,-0.641,0.000,L,8.3,0
182.19151,28.99054,-0.731,0.058,-0.759,0.066,S,3.2,0
182.22121,28.71458,-1.204,0.085,-1.231,0.111,S,0.9,0
182.22392,29.55848,-0.565,0.074,-0.543,0.123,S,9.0,0
182.24768,29.20231,-0.654,0.058,-0.688,0.066,S,1.6,0
182.26862,31.11282,-0.687,0.050,-0.687,0.035,S,2.4,0
182.29449,31.89375,-0.765,0.064,-0.690,0.110,S,7.4,0
182.29951,30.57157,-0.527,0.056,-0.550,0.064,S,5.4,0
182.31587,30.41340,-0.368,0.063,-0.028,0.000,L,5.0,0
182.31711,31.69790,-0.690,0.062,-0.647,0.095,S,3.6,0
182.34875,31.08684,-0.888,0.086,-0.986,0.077,I,7.6,0
182.38454,28.08851,-0.843,0.048,-0.855,0.024,S,1.8,0
182.40216,28.82698,-0.564,0.095,-0.626,0.139,S,8.0,0
182.40735,29.83002,-0.914,0.048,-0.903,0.028,S,2.3,0
182.43855,29.35132,-0.752,0.054,-0.701,0.068,S,1.9,0
182.44772,28.81353,-0.645,0.100,-0.475,0.000,L,4.3,0
182.44817,30.08191,-0.665,0.070,-0.765,0.103,S,2.4,0
182.45474,28.07503,0.070,0.084,0.235,0.000,L,15.0,0
182.46461,28.04120,-0.868,0.050,-0.831,0.035,S,2.2,0
182.52353,29.58288,-0.719,0.098,-0.563,0.000,L,9.7,0
182.54488,31.98242,-0.762,0.067,-0.597,0.137,S,2.2,0
182.55292,29.79254,-0.714,0.080,-0.455,0.000,L,6.0,0
182.56783,29.04796,-0.805,0.050,-0.800,0.040,S,1.0,0
182.58701,29.29091,-0.812,0.050,-0.791,0.042,S,0.4,0
182.60565,28.43421,-0.440,0.091,-0.246,0.000,L,3.7,0
182.61530,31.70976,-1.126,0.047,-1.097,0.009,S,1.3,0
182.62621,31.56867,-0.643,0.063,-0.660,0.095,S,2.4,0
182.65367,29.09729,-0.948,0.051,-0.919,0.040,S,1.4,0
182.65514,31.94074,-1.065,0.047,,,,,0
182.65926,30.76013,-0.668,0.058,-0.643,0.085,S,3.6,0
182.66818,28.86538,-0.614,0.055,-0.920,0.026,S,13.0,0
182.67099,31.78244,-0.849,0.075,-0.819,0.150,S,0.7,0
182.68271,31.85674,-0.804,0.052,-0.779,0.047,S,1.2,0
182.71671,28.34367,-0.748,0.049,-0.776,0.033,S,1.0,0
182.72704,31.66641,-0.895,0.060,-0.818,0.084,S,0.3,0
182.78127,29.16873,-0.808,0.047,-0.785,0.009,S,1.3,0
182.79420,30.49637,-0.893,0.075,-0.964,0.105,S,4.8,0
182.83112,31.20720,-0.571,0.089,-0.368,0.000,L,1.1,0
182.92078,28.47830,-0.973,0.048,-0.957,0.026,S,1.3,0
182.94864,29.30591,-0.681,0.050,-0.700,0.032,C,1.3,0
182.98056,29.78572,-0.509,0.086,-0.283,0.000,L,0.8,0
182.98604,30.73740,-0.748,0.089,-0.541,0.000,L,2.5,0
182.99477,28.69571,-0.635,0.063,-0.626,0.085,S,1.1,0
183.02362,31.35429,-0.979,0.064,-0.943,0.104,S,3.5,0
183.05756,31.02104,-0.714,0.051,-0.641,0.048,S,2.6,0
183.07286,29.53289,-0.198,0.110,-0.116,0.000,L,1.5,0
183.07567,28.97822,-0.742,0.058,-0.807,0.059,S,1.9,0
183.12933,29.16825,-0.545,0.051,-0.586,0.036,I,0.4,0
183.26613,29.17595,-0.764,0.057,-0.744,0.072,S,1.0,0
183.31979,30.17547,-0.422,0.099,-0.666,0.104,S,7.9,0
183.36177,29.93506,-0.821,0.046,-0.798,0.004,S,0.9,0
183.38304,29.59887,-0.606,0.052,-0.578,0.057,S,0.8,0
