# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
30.52241,-27.61296,steep,6.6,-0.884,0.192,-1.304,2.72,20
28.67041,-27.61156,steep,26637.0,-0.980,0.090,-1.392,2.29,22
30.35997,-27.49594,nan,,,,-1.508,,3
31.54027,-27.47693,flat,4785.5,-0.519,0.968,-0.370,1.69,6
33.35513,-29.65282,flat,292.1,-0.271,0.548,-2.010,2.77,12
30.02220,-29.63500,nan,971675.4,-1.339,0.231,,1.79,11
32.91960,-31.55796,steep,25.4,-0.962,0.314,-1.374,1.43,15
28.77774,-32.65220,steep,299741118.2,-0.890,0.070,-1.020,1.50,22
30.92664,-27.40221,steep,0.0,-0.738,0.052,-0.977,2.22,22
32.71541,-30.96284,nan,19012.2,-0.873,0.065,,1.32,20
30.18889,-28.35562,flat,1837.3,-0.579,0.319,0.098,1.63,17
31.16589,-29.98463,steep,,-0.881,0.142,-0.917,2.42,22
27.74515,-30.57084,steep,72.8,-1.131,0.422,-1.151,1.40,11
30.03154,-30.15862,steep,11727.6,-0.804,0.167,-1.033,1.71,21
29.69571,-29.71131,nan,17.5,-0.769,0.138,,2.75,20
29.06543,-30.52829,steep,10.6,-0.559,0.018,-1.074,1.69,22
28.29267,-28.29000,steep,,-0.935,0.007,-1.195,4.24,22
27.56333,-30.71654,nan,,,,,,1
32.20205,-29.79797,nan,10623.7,-1.179,0.141,,2.24,20
32.64178,-30.71681,steep,12046.4,-0.665,0.075,-0.763,1.72,22
29.13985,-27.53853,nan,0.0,-0.947,0.096,,2.51,21
31.46211,-27.68336,steep,4128.6,-0.974,0.228,-0.505,1.34,18
31.06597,-28.63817,nan,2.2,-0.910,1.111,,0.31,6
27.51401,-30.74468,nan,,,,-1.295,,3
30.46397,-30.45745,nan,195.8,-0.566,0.640,,0.56,10
31.51554,-27.94504,steep,3685.5,-1.174,0.231,-0.634,0.43,17
31.17035,-29.18008,steep,,-0.791,0.029,-1.121,3.05,22
31.89742,-28.87231,nan,,,,-0.848,,3
31.76174,-27.74681,steep,7.2,-0.604,0.067,-1.577,2.09,22
27.70211,-30.73039,nan,,,,-1.079,,3
28.88714,-29.74001,steep,139353.9,-1.050,0.011,-1.068,3.51,22
28.00302,-29.52872,steep,0.0,-0.989,0.002,-2.292,31.34,22
32.09087,-28.10123,steep,295.0,-0.703,0.856,-0.864,0.63,8
31.03809,-28.27876,steep,6428565.5,-0.659,0.005,-1.183,10.44,22
31.03007,-30.02484,steep,0.0,-1.016,0.130,-2.024,4.45,19
32.15071,-29.86197,flat,1790.5,-0.336,0.033,-0.370,0.92,22
31.65342,-32.57188,flat,1377.8,-1.464,0.382,-0.104,0.20,12
29.33729,-30.71243,steep,,-0.585,0.149,-0.582,4.29,21
31.35643,-30.77084,nan,134.0,-0.153,0.648,,0.91,10
27.41808,-30.82332,nan,120.3,-0.068,0.945,,0.56,6
28.22972,-30.81548,nan,2241.2,-0.841,0.069,,0.81,20
28.02300,-30.58320,nan,6610.6,-0.921,0.032,,3.92,20
28.02655,-31.26687,peaked,249.0,1.861,1.794,-1.286,1.00,6
29.44753,-31.49821,uss,807596.7,-1.428,0.093,-1.398,1.72,22
29.87233,-29.31738,steep,0.0,-0.857,0.101,-1.431,1.49,22
29.60367,-32.62888,peaked,164.5,0.763,1.561,-1.061,0.58,7
30.85942,-31.59831,steep,0.6,-0.758,0.073,-1.644,1.48,22
29.90140,-31.84830,flat,151913.6,-0.841,0.479,-0.346,0.82,11
31.92885,-28.73524,steep,106.4,-0.832,1.109,-0.911,0.75,9
28.03275,-30.22695,steep,117.1,-0.601,0.373,-1.317,0.98,16
32.23907,-29.51277,steep,,-1.207,0.374,-1.000,0.32,14
32.75814,-31.82338,steep,63863.1,-0.854,0.024,-0.890,1.75,22
31.17808,-31.98748,steep,56.7,-0.890,0.204,-1.966,1.83,20
28.44362,-32.38019,steep,,-0.806,0.042,-1.134,2.34,22
28.78773,-29.09244,steep,6262383.4,-0.859,0.132,-0.926,1.16,21
30.47132,-29.29061,steep,690999.5,-1.018,0.031,-1.179,1.50,22
31.73747,-30.09852,steep,22012.8,-0.855,0.060,-0.628,1.46,22
29.85715,-32.73991,steep,26115.0,-0.725,0.022,-0.771,1.23,22
32.68337,-31.24488,steep,,-0.817,0.112,-1.030,2.26,22
26.72370,-30.75075,uss,226.6,-1.671,0.844,-1.383,1.55,7
31.59320,-28.41001,flat,44.9,-0.350,0.044,-0.837,1.27,22
31.66826,-30.82363,nan,,,,-0.839,,3
29.33049,-32.71038,nan,4633.7,-1.059,0.159,,1.14,20
31.92757,-30.87712,flat,42.8,-0.404,0.196,-1.109,1.82,19
27.48430,-31.69906,nan,172.5,-0.148,1.318,,1.04,6
27.04876,-29.21890,steep,,-0.658,0.022,-0.884,1.35,22
26.63959,-30.35229,steep,952039.8,-0.690,0.030,-0.861,1.70,22
30.19177,-27.32538,nan,,,,-1.064,,3
28.23041,-32.03702,steep,,-0.920,0.005,-0.975,8.46,22
31.30925,-29.14358,nan,0.0,-1.220,0.158,,1.90,21
31.05986,-32.85466,extended,773.5,-0.922,0.147,0.332,0.97,21
28.45871,-30.10455,peaked,479.2,0.297,0.199,-0.847,1.67,18
28.63968,-29.82450,steep,,-0.578,0.013,-0.922,2.29,22
31.95411,-32.35211,nan,1593678.6,-0.963,0.378,,0.11,7
32.93713,-29.76591,peaked,561.9,0.745,0.841,-0.578,0.30,11
30.80208,-29.66904,nan,17817649.9,-0.993,0.140,,2.42,20
33.02166,-29.25660,steep,,-0.877,0.012,-0.962,1.35,22
33.26332,-29.68890,nan,286.0,-0.871,1.134,,0.96,5
28.92128,-29.92196,steep,,-0.660,0.056,-0.924,1.40,22
31.34092,-29.51850,nan,1274.5,-2.556,2.302,,0.39,5
32.50950,-29.42719,nan,,,,-1.281,,3
30.28713,-27.25115,steep,,-0.902,0.004,-1.005,15.57,22
32.82309,-28.82595,steep,,-0.753,0.260,-0.829,0.45,16
31.26129,-31.43713,steep,,-1.190,0.078,-1.987,3.72,22
27.94010,-27.82992,nan,,,,-0.115,,3
31.04411,-29.38397,steep,9858.0,-0.533,0.009,-0.582,5.99,22
30.72873,-30.50886,steep,21.2,-0.675,0.195,-1.273,1.14,19
32.18819,-29.31514,nan,,,,-0.764,,3
32.86487,-28.96645,nan,,,,-0.755,,3
31.49763,-28.89189,steep,610473.3,-0.907,0.051,-0.996,1.41,22
27.14847,-29.03055,steep,169.8,-0.543,0.443,-1.296,1.03,12
29.58244,-30.34913,steep,,-0.965,0.015,-1.175,1.26,22
32.65318,-29.70298,steep,199230.6,-0.775,0.080,-0.983,1.10,22
30.28583,-27.10735,nan,,,,,,2
32.99159,-29.80900,steep,,-0.933,0.095,-0.808,2.29,22
33.28485,-30.18450,steep,,-1.055,0.011,-1.897,2.16,22
27.09219,-29.91768,uss,60.5,-1.367,0.392,-1.282,2.14,12
33.09810,-29.84772,nan,87.5,-0.416,0.920,,0.20,5
26.79608,-30.36919,steep,7750567.9,-0.900,0.097,-1.277,1.64,22
26.67480,-29.56413,steep,238.5,-0.892,0.312,-2.666,7.28,14
32.15186,-30.16044,flat,524.1,-0.438,0.045,0.050,1.74,22
29.91771,-29.86392,steep,11087.0,-0.760,0.051,-0.699,1.81,22
30.96995,-31.85510,flat,137894.4,-0.685,0.239,-0.400,2.23,18
31.59283,-29.04089,nan,6827.5,-0.971,0.185,,0.48,18
32.59388,-29.35022,nan,,,,-1.157,,3
32.25973,-30.65565,nan,0.0,-0.823,0.099,,1.49,20
28.51829,-29.43389,nan,99.9,-0.075,1.118,,1.21,8
28.19224,-31.75907,steep,13684.2,-0.700,0.040,-0.604,1.52,22
29.73587,-28.41344,steep,20695.6,-0.732,0.019,-0.867,0.85,22
29.70822,-30.93798,steep,0.0,-0.929,0.062,-1.984,4.42,22
29.60228,-32.56660,nan,,-1.002,0.118,,2.06,21
32.67127,-28.62682,steep,65.7,-1.135,0.207,-2.388,6.83,16
32.32309,-31.23952,nan,20835.1,-1.275,0.148,,0.88,21
28.62461,-32.72425,flat,2509.4,-1.003,0.318,-0.129,1.58,15
30.26175,-28.62077,steep,6.8,-0.718,0.202,-1.249,2.14,18
31.57037,-29.31920,steep,779210.4,-0.923,0.014,-1.058,2.69,22
32.13541,-31.51782,uss,43.7,-1.884,0.383,-1.734,4.10,9
30.18970,-29.45833,steep,77.1,-0.536,0.211,-1.074,1.38,19
27.68082,-28.26400,steep,,-0.907,0.160,-1.284,1.56,20
28.01358,-29.32136,steep,121.0,-0.864,0.297,-1.749,2.31,16
31.04034,-28.03946,steep,2173247.3,-0.889,0.026,-1.042,1.48,22
27.26459,-28.20932,steep,,-0.873,0.044,-1.913,3.94,22
29.70906,-27.13766,steep,118.6,-0.758,0.259,-1.543,2.02,18
30.58682,-32.56594,steep,0.9,-0.947,0.142,-1.719,1.61,22
27.23693,-29.59052,steep,,-0.735,0.027,-0.944,2.11,22
30.05592,-28.00725,steep,7904.5,-0.702,0.050,-0.888,2.13,22
27.54289,-28.27309,steep,93901.7,-1.077,0.051,-1.517,1.69,22
32.25661,-31.80573,steep,,-1.163,0.011,-1.274,3.58,22
30.46694,-32.11247,steep,3252.5,-1.436,0.212,-0.622,1.73,19
33.34544,-29.87967,flat,5.3,-0.438,0.191,-0.821,1.74,17
33.19595,-30.91646,peaked,181.9,0.070,0.011,-0.904,17.96,22
28.94938,-29.41812,flat,58.8,-0.390,0.146,-1.236,1.11,21
29.17848,-27.34023,steep,0.0,-0.714,0.097,-1.417,1.82,22
33.14115,-31.19661,flat,1659.9,-0.888,0.138,0.010,0.84,22
30.73657,-30.21608,nan,,,,-0.875,,3
30.93577,-28.42660,flat,26067.2,-0.978,0.030,-0.370,2.66,22
32.90314,-29.20801,nan,694.7,-1.153,0.256,,0.72,13
32.14073,-28.20596,steep,34182.0,-0.814,0.026,-1.036,2.33,22
29.00747,-30.29451,steep,0.0,-1.019,0.087,-2.034,3.50,22
30.12559,-31.38161,steep,33.0,-0.557,0.093,-0.890,1.59,22
29.21459,-31.63846,nan,,-0.863,0.051,,1.59,20
31.08391,-29.41696,uss,187.5,-1.371,0.350,-1.278,3.23,17
28.29066,-31.71583,flat,7.4,-0.314,1.151,-0.147,0.09,6
31.28045,-30.63920,nan,253.6,-1.164,0.885,,1.69,7
32.45617,-30.10314,steep,,-0.899,0.054,-1.676,2.49,22
26.92974,-30.26797,steep,0.9,-0.765,0.002,-0.975,76.56,22
29.72253,-28.71091,nan,1082.4,-1.319,0.104,,1.21,21
28.17897,-27.82797,steep,,-0.963,0.165,-1.331,1.83,19
31.25601,-30.08234,steep,1450.2,-0.988,0.153,-0.623,1.53,20
29.49348,-28.12309,nan,126.5,-0.549,1.603,,0.07,6
32.34785,-30.27284,uss,1.6,-1.232,0.259,-1.487,2.63,12
28.08525,-32.32093,nan,1354.6,-0.835,0.093,,1.11,20
28.83470,-27.23110,nan,12361.4,-0.922,0.002,,75.75,21
29.57143,-32.23350,steep,,-1.048,0.090,-1.908,4.00,22
28.82389,-32.57490,steep,,-0.961,0.003,-1.193,23.77,22
28.14688,-31.18568,flat,37.8,-0.342,0.078,-1.007,1.96,22
30.32655,-29.74645,extended,3783.5,-0.780,0.125,0.235,1.39,22
30.54714,-30.33208,steep,183.6,-0.797,0.539,-0.976,2.31,12
32.15623,-30.78052,flat,780.1,-0.987,0.046,-0.026,1.03,22
27.30304,-31.60609,nan,1773.0,-1.114,0.289,,0.27,15
32.51953,-31.62972,steep,,-0.711,0.107,-0.706,1.07,22
30.67166,-31.55691,flat,667.4,-1.070,0.105,-0.167,1.27,22
31.06348,-27.37631,nan,1694.9,-1.317,0.492,,0.94,13
31.14843,-29.33998,steep,4.1,-0.799,0.150,-1.625,2.58,21
30.73032,-27.68919,steep,34882975.0,-0.919,0.020,-1.103,2.14,22
27.90766,-32.12266,steep,13576471.4,-0.986,0.010,-0.993,4.21,22
30.72481,-31.26364,steep,,-1.123,0.003,-1.657,18.72,22
30.84563,-29.65924,steep,0.0,-0.743,0.080,-1.178,1.35,22
33.24267,-30.22756,uss,,-1.255,0.188,-1.705,2.54,19
32.08499,-29.11787,steep,27428415.0,-0.901,0.293,-0.783,1.14,15
32.03027,-31.93329,flat,,-0.977,0.573,-0.358,1.17,12
31.37287,-31.97060,steep,,-0.867,0.226,-1.050,2.57,16
30.90147,-29.04510,steep,6877281.4,-1.209,0.367,-0.794,0.72,12
32.43745,-30.35315,nan,44180.6,-1.338,0.212,,3.05,12
29.82891,-31.88822,nan,875.1,,,0.269,9.12,5
28.82214,-29.76935,nan,363.7,,,-1.147,0.31,5
29.08331,-29.67489,peaked,409.7,0.890,0.023,-0.790,4.52,22
28.94253,-32.35284,steep,1.2,-0.812,0.109,-1.458,1.14,22
27.04678,-31.53440,steep,70.6,-0.735,0.994,-0.955,0.20,8
29.19424,-32.02178,steep,20446.2,-0.913,0.046,-0.968,2.03,22
29.74609,-27.34099,steep,0.0,-0.571,0.076,-1.126,1.65,22
30.57126,-29.07606,nan,95.4,-0.888,0.192,,3.17,20
29.73372,-30.01847,steep,20513.8,-0.800,0.020,-0.652,1.99,22
32.01722,-27.94011,nan,,,,-1.188,,3
29.38314,-27.26125,flat,,-0.275,0.316,-0.484,2.68,16
28.96072,-30.84344,steep,204227.3,-0.719,0.062,-1.142,1.56,22
28.93435,-29.25899,steep,29779720.1,-1.093,0.054,-2.104,4.18,22
33.21601,-30.87930,steep,5888.1,-1.378,0.240,-0.812,1.54,17
30.00856,-29.01245,steep,40.8,-0.731,0.116,-2.649,6.30,21
29.47880,-27.61128,steep,7335.4,-1.017,0.024,-1.135,1.80,22
30.84334,-32.04030,steep,2.1,-0.681,0.013,-0.953,8.47,22
30.13921,-30.01028,steep,85352.3,-1.122,0.157,-1.116,1.77,20
28.18539,-31.04466,steep,56184.0,-0.886,0.062,-1.173,1.10,22
30.77853,-28.00906,steep,42.1,-0.692,0.186,-1.565,1.49,20
32.57874,-30.05601,steep,152.4,-0.536,0.619,-1.678,0.97,10
32.21252,-30.35465,uss,0.0,-1.200,0.025,-1.840,1.97,22
31.82583,-29.03146,nan,,,,,,1
31.60552,-31.52875,steep,50.1,-0.755,0.217,-1.664,2.32,19
27.76526,-29.79569,steep,,-0.771,0.071,-0.994,4.21,22
26.95446,-30.89542,steep,12368.4,-1.015,0.052,-0.873,1.30,22
31.83001,-32.41083,nan,793.7,-0.771,0.383,,0.85,14
32.22494,-31.24507,steep,,-0.751,0.046,-1.298,0.99,22
31.22942,-32.59429,steep,209198.0,-0.989,0.099,-1.126,1.54,22
28.76376,-28.54203,steep,,-0.677,0.029,-1.073,1.23,22
28.64122,-30.16939,steep,,-0.591,0.034,-0.727,0.95,22
31.60676,-30.62109,steep,0.0,-0.899,0.005,-1.086,8.63,22
33.26990,-29.65395,steep,0.1,-1.009,0.040,-2.799,4.39,22
32.18971,-29.75467,flat,1958.2,-1.467,0.183,-0.327,0.50,18
31.37884,-29.14515,steep,1.9,-0.543,1.044,-0.601,0.54,7
30.79426,-27.42983,steep,260.5,-0.719,0.232,-4.674,9.89,20
29.56131,-30.57960,flat,19.0,-0.382,0.113,-0.748,0.63,21
28.31849,-31.40598,uss,106811.2,-1.202,0.104,-1.523,2.45,22
29.78469,-29.18039,steep,,-0.944,0.049,-1.370,2.38,22
28.88238,-29.37022,uss,,-1.262,0.012,-1.312,6.60,22
31.11343,-30.93978,steep,,-1.173,0.110,-2.162,3.20,22
27.47231,-28.35995,uss,,-1.235,0.018,-1.598,2.56,21
29.30388,-27.76042,nan,23.4,-0.766,0.188,,1.51,19
28.68166,-27.25425,steep,0.0,-0.722,0.104,-1.505,1.67,22
27.19766,-30.96627,flat,206.2,0.063,1.385,-1.092,0.97,6
30.35967,-28.70410,extended,145.5,0.155,5.345,-1.027,0.08,6
32.38719,-28.64044,peaked,386.7,0.272,0.634,-0.951,0.40,12
31.13524,-28.61441,nan,891.4,-1.591,0.652,,0.67,8
28.65450,-31.41264,steep,9312.4,-1.246,0.038,-0.828,2.23,22
32.97095,-29.56959,steep,183.8,-0.978,1.518,-1.321,0.38,7
30.79725,-28.28403,steep,1774.3,-1.442,0.138,-0.674,1.26,22
32.87442,-31.30771,uss,0.2,-1.219,0.233,-1.455,2.07,18
32.85119,-30.35181,steep,8.1,-0.912,0.221,-1.313,0.95,19
27.00666,-30.02397,flat,50.0,-0.417,0.162,-0.854,2.92,20
30.55354,-27.78108,steep,4870.5,-0.964,0.166,-0.868,1.70,20
31.09441,-32.15145,steep,,-0.919,0.107,-1.244,1.08,22
32.21003,-28.23259,flat,15.5,-0.460,0.139,-0.947,1.72,22
31.11006,-30.36258,steep,,-0.825,0.004,-1.110,13.22,22
30.89947,-30.53921,steep,124031.3,-0.762,0.048,-0.661,1.52,22
30.31023,-31.72844,steep,,-0.525,0.052,-0.730,0.70,22
27.36445,-31.49135,steep,554621.8,-1.074,0.010,-0.832,4.27,22
29.09740,-27.90963,steep,739279911.7,-0.689,0.117,-1.024,1.34,22
31.42639,-32.33830,nan,0.0,-1.062,0.007,,4.88,20
30.25554,-30.12342,nan,,,,-1.372,,3
29.33601,-31.46427,steep,0.2,-0.652,0.043,-0.815,0.96,22
28.37585,-30.55083,steep,,-0.768,0.080,-0.995,1.23,21
29.22995,-28.83758,steep,104.5,-0.909,0.336,-1.586,2.51,11
28.81962,-30.93600,steep,5504.8,-0.915,0.103,-0.719,1.30,22
27.09934,-30.13814,steep,60206.3,-0.760,0.044,-0.853,0.89,22
29.13853,-27.35852,nan,2973.0,-0.933,0.180,,1.17,20
29.89636,-29.91935,steep,0.0,-0.586,0.081,-1.200,1.83,22
28.24319,-30.30693,steep,0.2,-0.989,0.057,-1.905,2.55,22
30.53526,-32.58496,steep,,-1.081,0.064,-1.574,1.64,22
29.42849,-27.11999,uss,10674.6,-1.270,0.019,-1.434,6.27,22
29.31367,-32.47160,flat,305.9,-1.570,0.401,-0.055,2.04,15
30.63558,-28.58860,nan,,,,,,2
32.24623,-29.77440,nan,1398.1,-1.525,0.273,,0.91,5
31.00192,-32.07120,uss,,-1.426,0.166,-1.941,4.28,18
28.10938,-31.90673,steep,25174.8,-1.313,0.226,-0.938,2.12,14
31.79772,-29.78839,steep,,-1.041,0.038,-0.729,3.15,22
28.49228,-29.69898,steep,0.2,-0.915,0.543,-0.870,0.78,8
32.43839,-31.16221,steep,,-0.667,0.081,-1.281,1.73,22
30.13768,-31.23039,steep,0.1,-0.842,0.145,-1.214,1.65,21
32.39659,-30.53554,steep,,-0.615,0.004,-0.863,13.76,22
32.36747,-30.11165,flat,,-0.641,0.109,-0.125,5.65,21
33.14460,-31.26776,steep,12234.4,-0.783,0.104,-0.922,1.73,22
32.64600,-28.85887,steep,233432355.8,-0.920,0.017,-1.043,1.85,22
27.25380,-31.56259,nan,,,,,,1
28.41031,-32.29525,flat,286.8,-1.160,0.329,-0.411,4.67,8
29.84820,-29.41078,peaked,134.0,1.063,0.549,-0.824,1.76,13
30.33479,-31.80866,flat,199.0,-0.014,0.205,-1.364,0.87,18
30.67327,-28.95607,steep,,-0.998,0.007,-1.153,3.97,22
27.47409,-31.97761,steep,2640.3,-0.905,0.095,-0.549,1.32,22
32.63523,-30.15775,flat,3359.7,-0.304,0.084,-0.516,1.48,22
28.58856,-28.70562,steep,,-0.958,0.009,-1.112,3.50,22
28.48006,-29.57867,steep,,-0.569,0.030,-0.916,1.83,22
32.43695,-29.92205,steep,32398009.4,-0.854,0.004,-0.670,5.78,22
30.57443,-31.83299,nan,2446.1,-1.352,1.182,,0.58,7
32.18040,-27.84270,nan,,-0.972,0.021,,2.78,20
30.87848,-27.39854,steep,16914196.2,-0.760,0.040,-0.863,1.15,22
28.63783,-27.90012,steep,,-1.132,0.029,-1.842,2.87,22
30.08021,-28.53284,steep,24.7,-1.591,0.542,-1.146,2.23,6
29.40860,-31.34733,steep,0.1,-0.951,0.050,-1.148,1.31,22
31.92819,-29.12771,nan,,,,,,2
30.32428,-29.98474,nan,1611.4,-1.298,0.009,,202.72,20
27.66186,-28.62473,steep,9.4,-0.701,0.138,-1.713,2.72,21
26.74168,-29.25094,steep,604168621.5,-1.136,0.013,-1.133,2.28,22
30.43529,-27.66548,steep,,-0.753,0.016,-1.075,2.73,22
27.62187,-28.17296,steep,,-0.996,0.262,-0.925,2.07,16
31.68236,-29.81846,nan,135512.0,0.077,0.646,,2.56,7
32.17231,-30.95449,steep,0.0,-0.881,0.006,-1.277,5.90,22
27.55226,-29.84924,steep,0.0,-1.068,0.020,-1.370,3.23,22
30.75060,-30.15754,nan,,,,,,1
29.58658,-28.19500,steep,15535823.8,-0.676,0.124,-0.981,1.77,21
26.65452,-30.24970,steep,11560.0,-0.684,0.087,-0.606,1.42,21
29.38032,-30.32297,nan,,,,-0.555,,3
31.77113,-29.71170,flat,38.2,-0.493,0.267,-1.021,0.55,18
32.85280,-31.72295,nan,6275544.6,-1.501,0.217,,3.76,15
30.88802,-31.95088,steep,45790.9,-0.852,0.046,-0.915,2.14,22
29.01216,-29.46347,steep,190.3,-0.741,0.567,-1.644,0.90,8
32.44674,-29.46870,nan,,,,-1.317,,3
29.97186,-32.41643,steep,32.1,-0.804,0.197,-1.453,2.03,19
31.37260,-30.49858,steep,159.3,-0.971,0.370,-1.372,1.78,14
32.21483,-31.07647,steep,8818.6,-0.700,0.022,-0.718,2.18,22
31.79402,-31.86525,steep,41.7,-0.720,0.276,-1.833,2.27,8
31.10163,-31.42676,steep,438248.8,-0.997,0.032,-1.219,1.77,22
28.81648,-32.51166,nan,876.7,-1.152,0.141,,0.94,19
29.24012,-31.05187,steep,,-1.027,0.064,-1.688,1.73,22
29.28246,-29.28123,steep,234.7,-0.964,0.526,-1.490,1.27,12
27.94632,-31.13833,steep,,-0.738,0.009,-0.869,3.76,22
28.55952,-28.20462,flat,317.6,-0.228,0.242,-0.612,1.80,17
29.30979,-32.32554,flat,,-0.030,0.880,-0.532,0.26,9
29.27607,-32.53759,steep,6154.2,-1.117,0.036,-0.874,1.47,22
33.19014,-30.69980,steep,,-1.137,0.087,-1.563,1.27,22
28.91943,-27.61670,steep,6579.9,-1.204,0.111,-0.822,1.17,22
31.70933,-28.17265,nan,15.2,-0.599,0.101,,2.73,21
31.08360,-29.06256,flat,769.6,-1.098,0.574,-0.007,1.06,12
31.53119,-32.45220,steep,,-0.845,0.131,-0.988,1.19,22
29.12234,-32.09011,steep,8960.9,-1.255,0.108,-0.810,2.23,22
29.39993,-27.43659,steep,0.0,-0.676,0.056,-1.800,2.38,22
27.21054,-31.58777,steep,28840.4,-0.790,0.121,-0.812,1.66,22
32.08520,-30.65947,steep,,-1.070,0.001,-1.267,261.92,22
32.27796,-31.10844,steep,121.2,-0.783,0.779,-0.847,1.02,9
29.68580,-30.74433,nan,,,,-0.320,,3
31.68301,-29.91859,nan,0.0,-0.857,0.068,,2.50,21
31.04249,-32.69066,steep,68617782.2,-0.732,0.091,-1.489,4.41,22
30.71988,-31.57576,steep,298561808.1,-0.808,0.117,-0.813,3.22,20
29.05714,-29.06171,nan,551453.7,-0.911,0.800,,0.35,6
27.52172,-31.22409,nan,,,,-0.445,,3
30.44834,-28.72658,steep,67194732.0,-0.911,0.183,-1.064,1.93,19
30.67592,-28.57043,nan,,,,,,1
30.47533,-32.45406,steep,,-0.769,0.013,-1.348,1.83,22
32.61646,-28.89324,steep,24680.7,-0.850,0.065,-1.194,5.56,22
32.34219,-30.85831,steep,124921.2,-0.956,0.028,-0.829,0.81,22
29.76286,-32.27712,steep,3467602.6,-0.682,0.201,-0.759,1.36,19
32.18244,-28.79020,nan,13.5,-0.640,0.078,,2.24,21
27.17412,-30.20468,flat,378.0,-0.483,1.247,-2.077,0.53,9
31.45209,-30.87633,steep,235138.7,-0.603,0.007,-0.640,9.81,22
26.86322,-29.44151,peaked,427.7,0.384,0.058,-0.332,1.82,22
31.07051,-31.75009,steep,2274.9,-0.589,0.046,-0.544,1.59,22
28.73830,-30.87927,steep,1104993.7,-0.885,0.006,-0.794,4.61,22
29.68300,-32.12499,steep,27.5,-0.874,0.249,-1.571,1.69,14
33.07018,-29.16223,steep,232110.8,-0.781,0.073,-0.945,1.14,22
27.92014,-28.87882,steep,,-0.935,0.034,-1.043,1.25,22
32.03227,-28.04439,steep,,-0.792,0.017,-1.004,1.71,22
29.12548,-31.91868,nan,,,,,,2
30.36229,-29.40497,flat,236.4,-0.006,0.768,-1.213,1.55,8
27.24456,-28.86985,flat,95.2,-0.278,0.202,-0.903,2.01,20
30.69017,-27.14700,steep,18.6,-0.567,0.185,-1.253,2.12,19
29.18217,-28.58917,flat,2801.3,-0.705,0.215,-0.397,1.23,19
28.76086,-32.02784,steep,189.6,-0.519,0.680,-1.461,0.79,8
27.98944,-30.95365,steep,361186.2,-0.992,0.093,-0.642,1.34,22
28.60313,-29.60411,flat,1667.8,-0.470,0.342,0.084,0.82,15
31.35029,-32.32635,nan,3036.1,-0.864,0.035,,5.23,20
31.49556,-31.27917,steep,1627856.4,-0.868,0.113,-0.770,1.64,22
29.38728,-27.58795,steep,412.3,-0.570,0.409,-0.778,1.16,14
29.98016,-29.52040,steep,,-0.992,0.107,-1.821,2.39,22
28.69710,-32.34578,steep,189.2,-1.058,0.708,-1.419,0.68,11
30.96749,-31.07224,steep,179.4,-1.052,0.450,-1.209,2.67,12
30.03991,-31.93894,steep,14387.8,-0.764,0.116,-0.752,1.43,22
28.66115,-27.45796,steep,4691.5,-0.831,0.062,-0.611,1.14,22
31.24149,-29.68150,steep,0.0,-0.693,0.039,-0.879,6.86,22
31.01528,-27.60254,steep,2782.7,-1.358,0.219,-0.605,1.33,19
27.12782,-31.63144,steep,1.5,-0.566,0.125,-1.147,1.17,22
27.69981,-30.83330,nan,,,,,,1
29.75753,-28.49670,nan,176.1,-1.077,0.702,,0.95,7
29.57320,-27.88707,nan,,,,-1.176,,3
26.59835,-29.92659,steep,,-1.032,0.036,-3.142,8.57,22
32.19491,-30.64995,steep,425973399.3,-0.679,0.047,-0.894,1.01,22
31.81572,-27.72768,uss,0.0,-1.684,0.247,-1.796,3.88,15
31.19077,-31.11495,steep,607945.3,-0.881,0.004,-0.694,12.93,22
28.88931,-28.16437,steep,,-0.826,0.005,-0.994,13.83,22
30.23606,-29.13048,steep,497334.9,-0.893,0.124,-1.236,1.71,22
28.86089,-28.67477,uss,58.1,-1.569,0.356,-1.702,4.53,10
28.07617,-28.53396,flat,,-0.476,0.118,-1.393,3.63,22
27.10280,-28.69339,steep,,-0.797,0.095,-1.754,2.47,22
28.55979,-28.53403,nan,3.0,-0.915,0.089,,3.77,21
31.21719,-29.69754,steep,53625036.4,-0.939,0.010,-1.043,4.71,22
30.13115,-32.87560,nan,12.9,-1.105,0.163,,3.66,21
29.08910,-30.39861,nan,1409.5,-0.772,0.172,,0.57,18
32.31263,-31.49404,steep,,-0.771,0.004,-0.814,10.82,22
32.73438,-31.59810,flat,197.1,-0.183,0.378,-1.218,1.16,15
27.42951,-30.53935,peaked,442.3,0.376,0.151,-0.807,1.03,18
32.01264,-31.76463,steep,49.6,-0.740,0.276,-1.486,0.82,18
28.97117,-30.18092,steep,,-0.835,0.060,-1.136,1.73,22
32.43912,-30.53451,steep,33828.2,-0.849,0.472,-0.652,0.59,6
29.98444,-27.00516,steep,,-0.940,0.003,-1.293,21.85,22
31.66614,-30.29704,steep,29748695.1,-0.831,0.007,-0.816,7.50,22
30.76789,-28.24444,steep,296.2,-0.585,0.974,-2.177,8.74,6
33.36269,-30.55845,steep,113.6,-0.851,0.541,-1.173,0.48,14
28.21712,-30.86412,nan,231.2,-0.630,0.504,,1.10,10
