# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
31.18340,-29.44665,steep,24.5,-1.244,0.956,-0.891,2.27,7
29.59720,-29.32968,nan,18371.3,-1.166,1.052,,0.07,5
28.09455,-31.61960,flat,352.1,-0.873,0.121,-0.071,2.79,22
27.05626,-31.50110,nan,,-1.056,0.165,,1.03,17
31.87487,-31.31902,extended,2898.1,-0.843,0.220,0.449,3.08,16
29.42420,-32.16251,flat,255.1,-0.329,0.291,-1.323,1.29,18
28.73690,-30.66958,steep,4451.0,-0.974,0.086,-0.805,2.27,22
29.75145,-29.91851,steep,3719.4,-1.066,0.139,-0.854,2.46,20
28.44741,-30.22586,nan,909.7,-0.906,0.461,,1.48,4
27.43979,-31.02404,extended,,0.454,0.703,-0.827,1.69,8
31.54429,-31.57946,nan,5.6,0.176,0.571,,1.18,8
29.59537,-32.34441,steep,,-0.923,0.110,-1.510,2.99,22
27.19102,-31.76921,nan,,-1.048,0.028,,1.20,21
31.04693,-31.90834,steep,187521.0,-0.799,0.042,-0.711,2.16,22
31.59176,-32.40701,steep,66093301.8,-0.801,0.093,-1.157,1.12,22
28.23165,-27.91247,inverted,250.5,0.491,0.770,0.667,1.10,11
31.57296,-30.82509,nan,,,,-0.974,,3
28.20264,-29.68189,steep,165.8,-0.661,0.498,-1.404,1.75,7
27.31665,-30.74654,steep,41921177.9,-0.799,0.124,-1.580,7.15,21
28.41375,-30.57818,steep,961723.1,-0.862,0.058,-0.960,2.21,22
30.34032,-27.94456,steep,0.1,-0.942,0.249,-1.060,1.42,17
27.64303,-31.54178,inverted,1320.2,-1.205,0.387,0.334,2.65,11
28.33454,-30.66021,steep,,-0.690,0.028,-0.783,2.86,22
28.50581,-28.79085,steep,21694754.1,-0.946,0.019,-1.305,1.00,22
30.07231,-29.30820,steep,9919.7,-0.910,0.091,-0.917,1.60,22
31.53098,-30.24085,steep,127115.9,-1.070,0.040,-0.852,1.74,22
28.93641,-29.15779,steep,2.4,-0.769,0.007,-1.176,10.44,22
