ra,dec,s150_mjy,s1400_mjy,alpha,e_alpha,sep_arcsec,class
178.24496,29.50404,271.00,126.70,-0.34,0.05,0.7,flat
177.72440,31.10910,89.00,42.00,-0.33,0.06,2.8,flat
181.13039,27.43924,47.60,23.60,-0.31,0.07,2.9,flat
180.64037,27.94044,245.90,124.90,-0.30,0.05,2.4,flat
181.95802,29.46923,119.40,60.80,-0.30,0.05,0.3,flat
182.10399,30.98664,34.00,17.60,-0.29,0.09,4.5,flat
178.06355,32.00502,30.90,16.00,-0.29,0.10,3.2,flat
178.02945,31.21407,64.10,33.30,-0.29,0.07,4.0,flat
177.89404,29.90354,53.90,28.30,-0.29,0.08,0.8,flat
181.74867,28.36012,92.40,51.00,-0.26,0.06,0.3,flat
179.28918,28.36726,54.90,30.70,-0.26,0.07,0.7,flat
179.00146,28.23607,47.90,27.00,-0.25,0.07,0.8,flat
180.54054,27.68792,53.70,32.70,-0.22,0.06,1.5,flat
180.92709,27.96430,65.30,39.90,-0.22,0.06,1.8,flat
179.60374,27.27496,65.60,41.10,-0.21,0.06,9.8,flat
183.07286,29.53289,31.40,20.10,-0.20,0.11,1.4,flat
177.25113,29.97789,79.80,51.90,-0.19,0.06,1.0,flat
180.88165,30.81755,260.00,173.80,-0.18,0.05,1.0,flat
178.11469,32.16635,49.30,40.10,-0.09,0.07,0.6,flat
180.65736,29.97252,47.80,44.60,-0.03,0.08,1.6,flat
181.27052,30.68495,215.60,201.20,-0.03,0.05,2.1,flat
177.28699,28.40983,297.80,280.30,-0.03,0.05,0.5,flat
181.58092,28.38192,34.40,37.80,0.04,0.10,2.5,inverted
182.45474,28.07503,48.90,57.20,0.07,0.08,9.0,inverted
181.86644,27.91640,502.30,589.20,0.07,0.05,1.6,inverted
176.92957,31.18235,37.40,74.40,0.31,0.09,1.2,inverted
